date,rolling_sharpe_24m
1995-01-31,1.177386736713462
1995-02-28,0.8114961572615335
1995-03-31,0.7738666704394107
1995-04-30,0.46678806756438673
1995-05-31,0.5224159290099798
1995-06-30,0.603852624088502
1995-07-31,0.7805571819095668
1995-08-31,0.628005336036094
1995-09-30,0.8581048418529642
1995-10-31,0.745902164222083
1995-11-30,0.5446721666176111
1995-12-31,0.5602760888388197
1996-01-31,0.5630445775800613
1996-02-29,0.4150830867998563
1996-03-31,0.30621111657379113
1996-04-30,0.3045559322849076
1996-05-31,0.3362043949475624
1996-06-30,0.41146727318092463
1996-07-31,0.7943700089050575
1996-08-31,1.140438731425052
1996-09-30,0.9042182888706884
1996-10-31,0.5943096513198745
1996-11-30,0.0543680436947851
1996-12-31,-0.01672833529814606
1997-01-31,-0.4069897403273234
1997-02-28,-0.28582333662562726
1997-03-31,-0.3473981045681026
1997-04-30,-0.4612054950979758
1997-05-31,-0.8523515307984051
1997-06-30,-1.0897897004489485
1997-07-31,-1.4731528040361956
1997-08-31,-1.6672692794150994
1997-09-30,-1.6290690697420358
1997-10-31,-1.7137033980776337
1997-11-30,-1.360691894830945
1997-12-31,-1.5056322718611332
1998-01-31,-1.7508203039720553
1998-02-28,-1.3390540165977833
1998-03-31,-1.1878899215271106
1998-04-30,-1.2757044627325291
1998-05-31,-1.284257267901113
1998-06-30,-1.0737603027404685
1998-07-31,-1.2106312297743294
1998-08-31,-1.521077507655666
1998-09-30,-1.123024394410114
1998-10-31,-1.2213547936904174
1998-11-30,-0.8643160295700868
1998-12-31,-0.9568576250956811
1999-01-31,-0.7054428411925469
1999-02-28,-0.5901624247788106
1999-03-31,-0.5840763091067875
1999-04-30,-0.5284041897570897
1999-05-31,-0.30991788573493617
1999-06-30,-0.05432431671065949
1999-07-31,0.07419756720915584
1999-08-31,0.23386750888801175
1999-09-30,0.16468695858229374
1999-10-31,0.05196615499399587
1999-11-30,-0.008274698243648114
1999-12-31,0.19746978573808818
2000-01-31,0.09607537759727616
2000-02-29,-0.13236872236668712
2000-03-31,-0.5103086271113043
2000-04-30,-0.37948113773858727
2000-05-31,-0.3932791508785168
2000-06-30,-0.5648808371571776
2000-07-31,-0.6445576001608677
2000-08-31,-0.49900086037836955
2000-09-30,-0.8810566019340696
2000-10-31,-0.6796197763862339
2000-11-30,-1.1100026279387187
2000-12-31,-0.9418864247931409
2001-01-31,-1.2313426174781326
2001-02-28,-1.5998974843085865
2001-03-31,-1.2126144330846609
2001-04-30,-0.7594052682787955
2001-05-31,-0.8493745443712034
2001-06-30,-0.969070911571163
2001-07-31,-0.8447777746266665
2001-08-31,-0.6560756776644363
2001-09-30,-0.9240590562007198
2001-10-31,-0.7996836947241943
2001-11-30,-0.5921585799266527
2001-12-31,-0.7543668713534206
2002-01-31,-0.6518767635916499
2002-02-28,-0.5559371202360898
2002-03-31,-0.2052293194038647
2002-04-30,-0.1345186635262682
2002-05-31,-0.16319169631682376
2002-06-30,-0.3076918656160356
2002-07-31,-0.4643302145144557
2002-08-31,-0.31612427570298485
2002-09-30,0.115456032883125
2002-10-31,0.3264144179241942
2002-11-30,0.3630630452611422
2002-12-31,0.5106137254512092
2003-01-31,0.5660345447430145
2003-02-28,0.9091142311690661
2003-03-31,0.7733951612175204
2003-04-30,0.29965341071657087
2003-05-31,0.45475748031060026
2003-06-30,0.42069241118649603
2003-07-31,0.4411071662064841
2003-08-31,0.3451575376671827
2003-09-30,0.5700896291166901
2003-10-31,0.441298219802653
2003-11-30,0.26547526511158187
2003-12-31,0.09940457574140292
2004-01-31,0.18352645521439787
2004-02-29,0.09373987685330197
2004-03-31,-0.039139766338326026
2004-04-30,-0.2683802157071497
2004-05-31,-0.234550482760109
2004-06-30,0.03951482389878582
2004-07-31,0.4067329264855991
2004-08-31,0.43775949219840715
2004-09-30,0.0681361650232593
2004-10-31,-0.3227418502391506
2004-11-30,0.12621947251345247
2004-12-31,-0.26089995720617926
2005-01-31,-0.2515338591449245
2005-02-28,-0.21643082410722997
2005-03-31,-0.14226785076183573
2005-04-30,0.3817597634520575
2005-05-31,0.2768911144936377
2005-06-30,0.2086118167047077
2005-07-31,0.31232491262624984
2005-08-31,0.14922647829793298
2005-09-30,0.2545018872302737
2005-10-31,0.4572151199970356
2005-11-30,0.11780024869428235
2005-12-31,0.4293421429652332
2006-01-31,0.15625586068216543
2006-02-28,0.2761966604166153
2006-03-31,0.2550688714930781
2006-04-30,0.29616277910333083
2006-05-31,0.3683952870620132
2006-06-30,0.2430893969126782
2006-07-31,0.019895071358338557
2006-08-31,-0.13147810890713685
2006-09-30,-0.2316472095165179
2006-10-31,-0.33535382566529753
2006-11-30,-0.7770207993038849
2006-12-31,-0.6866146810041769
2007-01-31,-0.44035092762657274
2007-02-28,-0.4500261295199929
2007-03-31,-0.6595441708252631
2007-04-30,-1.0387631331907408
2007-05-31,-1.5302260063725925
2007-06-30,-1.6218488459594127
2007-07-31,-1.720625480225442
2007-08-31,-1.744243333833379
2007-09-30,-2.032076479497532
2007-10-31,-1.9756991262200596
2007-11-30,-1.3270569836514665
2007-12-31,-1.390077825626197
2008-01-31,-0.7170909535710508
2008-02-29,-0.5902405733959898
2008-03-31,-0.45289310358528406
2008-04-30,-0.6090279790822062
2008-05-31,-0.7019960837058975
2008-06-30,-0.20922822452511855
2008-07-31,-0.2287284905206171
2008-08-31,-0.2017801163246813
2008-09-30,0.2865938590233139
2008-10-31,0.7924569075642589
2008-11-30,1.0343558308955336
2008-12-31,1.0462971445047264
2009-01-31,1.1954103005329815
2009-02-28,1.3575892929237112
2009-03-31,1.5795648043141066
2009-04-30,1.3433266219587103
2009-05-31,1.5881038218053383
2009-06-30,1.6320550349067358
2009-07-31,1.7156720382851975
2009-08-31,1.63165872193427
2009-09-30,1.8608420942217236
2009-10-31,1.9651673320339436
2009-11-30,1.6296006434943304
2009-12-31,1.7165997782873517
2010-01-31,1.460050968993944
2010-02-28,1.3037884095730772
2010-03-31,1.414768969021614
2010-04-30,1.6071473590134875
2010-05-31,1.7360723266929035
2010-06-30,1.6847359579563985
2010-07-31,1.8695925239549767
2010-08-31,2.040173955435982
2010-09-30,2.0354648643602014
2010-10-31,1.6867065738298088
2010-11-30,1.519008712859062
2010-12-31,1.7155571187937118
2011-01-31,1.5976086867009858
2011-02-28,1.2550075675750103
2011-03-31,1.058666709364398
2011-04-30,1.6327266125429871
2011-05-31,1.5018120765016811
2011-06-30,1.4329774536766682
2011-07-31,1.148144512832279
2011-08-31,1.4830261096486843
2011-09-30,1.0369070174051211
2011-10-31,0.5500034735971688
2011-11-30,0.740382955225844
2011-12-31,0.7157048203232393
2012-01-31,0.6803521372053513
2012-02-29,0.9015969829332682
2012-03-31,0.8327390971045073
2012-04-30,0.7651944224605917
2012-05-31,0.7232861940178295
2012-06-30,0.6950548819151181
2012-07-31,0.4668901089508812
2012-08-31,0.409379927077797
2012-09-30,0.04861343317251601
2012-10-31,0.11872358526664913
2012-11-30,0.09903021691225797
2012-12-31,-0.10791133066979153
2013-01-31,-0.005238849861579465
2013-02-28,0.07430164976104284
2013-03-31,0.20855983583969792
2013-04-30,0.03727970414046288
2013-05-31,0.08114180263962029
2013-06-30,0.18905888939032273
2013-07-31,0.07387796679477161
2013-08-31,-0.22641506756481797
2013-09-30,-0.09676675737787659
2013-10-31,0.5829642258683743
2013-11-30,0.7276441982981284
2013-12-31,0.5541950444748349
2014-01-31,0.9500410733576193
2014-02-28,0.529174938358026
2014-03-31,0.4302713051243186
2014-04-30,0.49265320155803843
2014-05-31,0.3479026763771411
2014-06-30,0.055728920822649734
2014-07-31,0.17994677427642963
2014-08-31,0.24541685196756519
2014-09-30,0.4410592844422285
2014-10-31,0.6479232397600193
2014-11-30,0.8043471597155173
2014-12-31,0.7729200815757348
2015-01-31,0.3883821259965357
2015-02-28,0.1588738502968806
2015-03-31,-0.09156321084799239
2015-04-30,-0.047352489459321696
2015-05-31,-0.09966672910428932
2015-06-30,-0.2611248138092882
2015-07-31,0.10096031418292399
2015-08-31,0.5295580433765948
2015-09-30,0.564351662612196
2015-10-31,-0.061329879522257644
2015-11-30,-0.17545395210031867
2015-12-31,-0.13881167750175508
2016-01-31,-0.07330282994031838
2016-02-29,0.1299998472092741
2016-03-31,0.36262297128103155
2016-04-30,0.31757943315764375
2016-05-31,0.2932097600111712
2016-06-30,0.39684204721059624
2016-07-31,0.48463433097419095
2016-08-31,0.32500163188797465
2016-09-30,0.2679709515081056
2016-10-31,0.09648088492876106
2016-11-30,-0.17231829332586776
2016-12-31,-0.26584742984132376
2017-01-31,-0.06950456399293652
2017-02-28,0.3405954673864954
2017-03-31,0.40581590964998143
2017-04-30,0.4934131362306211
2017-05-31,0.37379556977519385
2017-06-30,0.43847633350143617
2017-07-31,0.4301657170083433
2017-08-31,0.16103099820030994
2017-09-30,0.380691798539458
