transform,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,best_lead,best_r
permit_yoy,+0.038,+0.029,+0.029,+0.065,+0.057,+0.073,+0.066,+0.064,+0.111*,+0.095,+0.058,+0.050,+0.063,L8,+0.111
permit_mom,+0.068,+0.065,+0.005,+0.003,+0.014,-0.028,+0.020,-0.138**,+0.040,+0.141**,-0.031,+0.003,+0.042,L9,+0.141
permit_mom_3m,+0.050,+0.032,+0.025,+0.013,+0.018,-0.092,-0.027,+0.024,+0.098,+0.068,+0.006,+0.050,+0.093,L8,+0.098
permit_mom_6m,+0.044,+0.035,-0.047,-0.010,+0.029,+0.004,+0.029,+0.021,+0.103*,+0.113*,+0.067,+0.108*,+0.084,L9,+0.113
permit_zscore_60m,+0.051,+0.057,+0.056,+0.073,+0.073,+0.056,+0.068,+0.077,+0.110*,+0.089,+0.059,+0.075,+0.067,L8,+0.110
permit_accel,+0.002,+0.039,+0.001,-0.007,+0.028,-0.032,+0.104*,-0.118*,-0.067,+0.114*,-0.022,-0.026,+0.005,L7,-0.118
permit_contraction,+0.036,+0.033,+0.008,-0.063,-0.024,-0.051,-0.081,-0.045,-0.102*,-0.023,-0.093,-0.076,-0.080,L8,-0.102
