date,signal,threshold,position,strategy_return,benchmark_return,strategy_equity,benchmark_equity
1993-03-31,,0.0,0.0,0.0,0.0,1.0,1.0
1993-06-30,,0.0,0.0,0.0,0.004301417850390399,1.0,1.0043014178503904
1993-09-30,,0.0,0.0,0.0,0.025769237042894355,1.0,1.030181499149492
1993-12-31,3.4,0.0,1.0,0.021229652541578714,0.021229652541578714,1.0212296525415787,1.0520518944311983
1994-03-31,-12.1,0.0,0.0,-0.0,-0.03740400805044475,1.0212296525415787,1.012700936902408
1994-06-30,-25.0,0.0,0.0,0.0,0.0037895474917615246,1.0212296525415787,1.0165386151977511
1994-09-30,-20.0,0.0,0.0,0.0,0.0446149857331839,1.0212296525415787,1.0618914710120293
1994-12-31,-18.6,0.0,0.0,-0.0,-0.005329992089030733,1.0212296525415787,1.056231597872126
1995-03-31,-15.5,0.0,0.0,0.0,0.10574693716982853,1.0212296525415787,1.1679248542890972
1995-06-30,-10.3,0.0,0.0,0.0,0.09212578777614078,1.0212296525415787,1.2755208515538148
1995-09-30,-22.4,0.0,0.0,0.0,0.08069432394001974,1.0212296525415787,1.378448144341348
1995-12-31,-10.2,0.0,0.0,0.0,0.05779507656226346,1.0212296525415787,1.4581156603806662
1996-03-31,-6.8,0.0,0.0,0.0,0.05676972264659086,1.0212296525415787,1.5408924820071273
1996-06-30,-8.6,0.0,0.0,0.0,0.042936833593949286,1.0212296525415787,1.6070535260932348
1996-09-30,-5.2,0.0,0.0,0.0,0.027846674665956694,1.0212296525415787,1.6518046228051317
1996-12-31,6.9,0.0,1.0,0.08133550034224468,0.08133550034224468,1.1042918772953847,1.78615497826862
1997-03-31,-1.8,0.0,0.0,0.0,0.024644971512263414,1.1042918772953847,1.8301747168245375
1997-06-30,-7.4,0.0,0.0,0.0,0.176204659781789,1.1042918772953847,2.152660030143837
1997-09-30,-8.6,0.0,0.0,0.0,0.07256878741244788,1.1042918772953847,2.308875958242619
1997-12-31,-8.9,0.0,0.0,0.0,0.03256846250081313,1.1042918772953847,2.3840724983076726
1998-03-31,-10.3,0.0,0.0,0.0,0.1359008508023405,1.1042918772953847,2.708069979202147
1998-06-30,-5.8,0.0,0.0,0.0,0.033979381573853384,1.1042918772953847,2.800088522354154
1998-09-30,-7.0,0.0,0.0,-0.0,-0.0988692181195423,1.1042918772953847,2.523245959483494
1998-12-31,1.8,0.0,1.0,0.21594287352184738,0.21594287352184738,1.3427558384853853,3.0681229425767507
1999-03-31,-7.1,0.0,0.0,0.0,0.04357872511827332,1.3427558384853853,3.2018278289203708
1999-06-30,0.0,0.0,1.0,0.07040821722953106,0.07040821722953106,1.4372968832476853,3.4272628182305542
1999-09-30,36.4,0.0,1.0,-0.0575725786119019,-0.0575725786119019,1.3545479954482664,3.229946460204327
1999-12-31,7.4,0.0,1.0,0.1435772727367528,0.1435772727367528,1.549030302425764,3.693693364046193
2000-03-31,10.0,0.0,1.0,0.026431528163184392,0.026431528163184392,1.5899735404899564,3.7913233242241473
2000-06-30,5.4,0.0,1.0,-0.03159855924738941,-0.03159855924738941,1.539732667369003,3.6715229695376412
2000-09-30,9.1,0.0,1.0,-0.00891697530393154,-0.00891697530393154,1.526002909199417,3.6387840898904567
2000-12-31,10.9,0.0,1.0,-0.08379541612190755,-0.08379541612190755,1.3981308604198104,3.333870662900309
2001-03-31,24.6,0.0,1.0,-0.10811484755454082,-0.10811484755454082,1.2469721555842237,2.973429744414286
2001-06-30,33.9,0.0,1.0,0.05363529556055968,0.05363529556055968,1.3138538757047717,3.1329105275845057
2001-09-30,43.9,0.0,1.0,-0.14492752348364235,-0.14492752348364235,1.123440287279494,2.678865563525852
2001-12-31,59.6,0.0,1.0,0.09817252771281293,0.09817252771281293,1.2337312600161305,2.9418565672999937
2002-03-31,50.9,0.0,1.0,0.004794830945962003,0.004794830945962003,1.2396467928406565,2.9559622722074654
2002-06-30,40.4,0.0,1.0,-0.1328470260899831,-0.1328470260899831,1.0749634030097899,2.5632714751105143
2002-09-30,50.9,0.0,1.0,-0.16979923760389593,-0.16979923760389593,0.892435436726638,2.1280299328649352
2002-12-31,45.5,0.0,1.0,0.08403964770830386,0.08403964770830386,0.967435396431551,2.30686881873563
2003-03-31,25.0,0.0,1.0,-0.03568339426152711,-0.03568339426152711,0.9329140177581271,2.2245519091670634
2003-06-30,21.4,0.0,1.0,0.15627420626839417,0.15627420626839417,1.078704415399937,2.5721919930749872
