signal,signal_column,threshold,strategy,lead_quarters,direction,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
level,sloos_level,T0_zero,P1_long_cash,0,countercyclical,-0.08374503061075465,-0.08374503061075465,-0.11569004448236471,-0.06361094295836606,-0.01809878199605741,0.12327605655063045,-0.28452308917827596,0.28125,1.125,32,32,True
level,sloos_level,T0_zero,P1_long_cash,1,countercyclical,0.27584682824494444,0.27584682824494444,0.24028344409678512,0.10556912105215434,0.02868641844738895,0.13407327608232733,-0.27173114791035335,0.28125,1.125,32,32,True
level,sloos_level,T0_zero,P1_long_cash,2,countercyclical,0.20297599776934855,0.20297599776934855,0.12765240234523217,0.07339557791964119,0.018928025840302176,0.14485455098639777,-0.257890548406417,0.3125,1.125,32,32,True
level,sloos_level,T0_zero,P1_long_cash,3,countercyclical,0.21426068936476134,0.21426068936476134,0.14494785774673596,0.08982488359693769,0.02149255906290537,0.15461476256772125,-0.23927177194402838,0.3125,1.125,32,32,True
level,sloos_level,T0_zero,P1_long_cash,4,countercyclical,0.5966128492900968,0.5966128492900968,0.6291607414822109,0.3637994874659778,0.07365846255641051,0.13488247910718015,-0.20246994592948397,0.375,1.0,32,32,True
level,sloos_level,T0_zero,P1_long_cash,0,procyclical,0.9975783480161796,0.9975783480161796,0.9186618113298535,0.7261035142211083,0.1412103281207464,0.14480463582268677,-0.19447685537264314,0.5,0.625,32,32,True
level,sloos_level,T0_zero,P1_long_cash,1,procyclical,1.006950638730426,1.006950638730426,0.7456826175085117,0.6963568565539087,0.1354252916797829,0.13725692378170004,-0.19447685537264314,0.5,0.625,32,32,True
level,sloos_level,T0_zero,P1_long_cash,2,procyclical,1.3697006886759637,1.3697006886759637,10.39696527423985,3.5931554394985072,0.15331570331520017,0.11001927022736366,-0.042668820176785416,0.5,0.625,32,32,True
level,sloos_level,T0_zero,P1_long_cash,3,procyclical,1.508512606588013,1.508512606588013,10.235615069730951,3.5373933637674577,0.15093640133314734,0.09777698465790698,-0.042668820176785305,0.5,0.75,32,32,True
level,sloos_level,T0_zero,P1_long_cash,4,procyclical,0.664907382925753,0.664907382925753,0.5241192194327521,0.3814739476128229,0.07724620337235466,0.12451837742745454,-0.20249404672519267,0.40625,0.75,32,32,True
level,sloos_level,T_roll_p50,P1_long_cash,0,countercyclical,0.4361897663486848,0.4361897663486848,0.3283243544935767,0.26073878697878994,0.03528340232134797,0.08861257040686045,-0.13532088083319238,0.28125,0.75,32,32,True
level,sloos_level,T_roll_p50,P1_long_cash,1,countercyclical,0.11252016642855091,0.11252016642855091,0.04913553737102771,0.029885013381846008,0.006421511547243908,0.11240473830776188,-0.21487397262283736,0.21875,0.75,32,32,True
level,sloos_level,T_roll_p50,P1_long_cash,2,countercyclical,0.16412422554164594,0.16412422554164594,0.11062623076875991,0.04620527481816835,0.012555412365854224,0.11780514376520726,-0.27173114791035324,0.21875,0.625,32,32,True
level,sloos_level,T_roll_p50,P1_long_cash,3,countercyclical,0.16013694819673838,0.16013694819673838,0.10003494970990458,0.049313021034273756,0.011799213922783824,0.11265020278627079,-0.23927177194402838,0.21875,0.625,32,32,True
