period,strategy_sharpe,buy_hold_sharpe,strategy_return,buy_hold_return
Dot_Com,-1.0227248547825905,-1.0227248547825905,-0.42387477163674947,-0.42387477163674947
GFC,-0.7753868649661485,-1.0096647188796637,-0.30723944496480404,-0.37161452797682004
COVID,0.0,0.0254953845973439,0.0,-0.032069187510473274
Rate_Hike_2022,0.0,-0.9357330151573855,0.0,-0.18175361295122938
