quantile,coef,p_value,ci_lower,ci_upper
0.05,-0.011682,0.0,-0.013321,-0.010042
0.1,-0.009051,0.0,-0.0102,-0.007901
0.25,-0.005032,0.0,-0.005905,-0.004159
0.5,0.00029,0.2877,-0.000245,0.000824
0.75,0.004682,0.0,0.004206,0.005159
0.9,0.008354,0.0,0.007696,0.009012
0.95,0.011838,0.0,0.010967,0.01271
