horizon_days,coef,se,t_stat,p_value,ci_lower,ci_upper,r_squared,n
5,-0.000762,0.000774,-0.985,0.3246,-0.002278,0.000754,0.0058,6857
21,-0.003215,0.002157,-1.491,0.136,-0.007443,0.001012,0.0204,6841
63,-0.008287,0.003987,-2.079,0.0376,-0.016101,-0.000473,0.043,6799
