tau,coef,se,p_value,ci_lower,ci_upper
0.05,0.000407,0.000365,0.2654,-0.00031,0.001124
0.1,0.000485,0.000273,0.0768,-5.2e-05,0.001022
0.25,3e-05,0.000185,0.872,-0.000333,0.000393
0.5,-5.2e-05,0.000128,0.6822,-0.000304,0.000199
0.75,-8e-06,0.000138,0.9516,-0.000279,0.000262
0.9,-0.000148,0.000195,0.4487,-0.000532,0.000236
0.95,-0.000214,0.000246,0.3832,-0.000697,0.000269
