horizon,coef,se,ci_lower,ci_upper,p_value,direction
1,4.5e-05,0.000161,-0.000269,0.00036,0.7785,fwd
3,2.7e-05,0.00046,-0.000875,0.000929,0.9533,fwd
6,0.000123,0.000821,-0.001486,0.001733,0.8808,fwd
12,0.000133,0.001414,-0.002639,0.002904,0.9252,fwd
1,34.870247,31.568273,-27.002432,96.742926,0.2693,rev
3,49.37905,30.964716,-11.310677,110.068778,0.1108,rev
6,38.86858,30.744662,-21.38985,99.127009,0.2061,rev
12,41.248336,28.897169,-15.389075,97.885747,0.1535,rev
