pair_name,horizon_days,metric,value,p_value,n_obs
level__spy_fwd_1m,21,pearson,0.02,0.6924,393
level__spy_fwd_1m,21,spearman,-0.0216,0.6689,393
level__spy_fwd_1m,21,kendall,-0.0158,0.644,393
level__spy_fwd_1m,21,distance,0.0935,,393
level__spy_fwd_3m,63,pearson,0.007,0.8908,391
level__spy_fwd_3m,63,spearman,-0.0957,0.0587,391
level__spy_fwd_3m,63,kendall,-0.0704,0.0395,391
level__spy_fwd_3m,63,distance,0.1677,,391
level__spy_fwd_6m,126,pearson,0.0216,0.6714,388
level__spy_fwd_6m,126,spearman,-0.085,0.0945,388
level__spy_fwd_6m,126,kendall,-0.0616,0.0725,388
level__spy_fwd_6m,126,distance,0.1805,,388
level__spy_fwd_12m,252,pearson,0.0151,0.7682,382
level__spy_fwd_12m,252,spearman,-0.1211,0.0179,382
level__spy_fwd_12m,252,kendall,-0.0866,0.0123,382
level__spy_fwd_12m,252,distance,0.1815,,382
yoy__spy_fwd_1m,21,pearson,0.0336,0.5072,393
yoy__spy_fwd_1m,21,spearman,0.0187,0.7119,393
yoy__spy_fwd_1m,21,kendall,0.0122,0.7187,393
yoy__spy_fwd_1m,21,distance,0.0959,,393
yoy__spy_fwd_3m,63,pearson,0.038,0.4539,391
yoy__spy_fwd_3m,63,spearman,-0.0022,0.9658,391
yoy__spy_fwd_3m,63,kendall,0.0002,0.9957,391
yoy__spy_fwd_3m,63,distance,0.127,,391
yoy__spy_fwd_6m,126,pearson,0.0995,0.0503,388
yoy__spy_fwd_6m,126,spearman,0.099,0.0514,388
yoy__spy_fwd_6m,126,kendall,0.0686,0.0437,388
yoy__spy_fwd_6m,126,distance,0.1837,,388
yoy__spy_fwd_12m,252,pearson,0.1874,0.0002,382
yoy__spy_fwd_12m,252,spearman,0.201,0.0001,382
yoy__spy_fwd_12m,252,kendall,0.1477,0.0,382
yoy__spy_fwd_12m,252,distance,0.292,,382
mom__spy_fwd_1m,21,pearson,0.0734,0.1466,393
mom__spy_fwd_1m,21,spearman,0.0624,0.2171,393
mom__spy_fwd_1m,21,kendall,0.0422,0.2157,393
mom__spy_fwd_1m,21,distance,0.1246,,393
mom__spy_fwd_3m,63,pearson,0.0916,0.0703,391
mom__spy_fwd_3m,63,spearman,0.0574,0.2574,391
mom__spy_fwd_3m,63,kendall,0.0387,0.257,391
mom__spy_fwd_3m,63,distance,0.127,,391
mom__spy_fwd_6m,126,pearson,0.0838,0.0994,388
mom__spy_fwd_6m,126,spearman,0.069,0.175,388
mom__spy_fwd_6m,126,kendall,0.0463,0.1769,388
mom__spy_fwd_6m,126,distance,0.1307,,388
mom__spy_fwd_12m,252,pearson,0.0739,0.1494,382
mom__spy_fwd_12m,252,spearman,0.0525,0.3063,382
mom__spy_fwd_12m,252,kendall,0.0356,0.3026,382
mom__spy_fwd_12m,252,distance,0.1525,,382
mom3m__spy_fwd_1m,21,pearson,0.0743,0.1417,393
mom3m__spy_fwd_1m,21,spearman,0.0726,0.1509,393
mom3m__spy_fwd_1m,21,kendall,0.0485,0.1525,393
mom3m__spy_fwd_1m,21,distance,0.1193,,393
mom3m__spy_fwd_3m,63,pearson,0.0505,0.3197,391
mom3m__spy_fwd_3m,63,spearman,0.0032,0.9495,391
mom3m__spy_fwd_3m,63,kendall,0.0041,0.9029,391
mom3m__spy_fwd_3m,63,distance,0.1244,,391
mom3m__spy_fwd_6m,126,pearson,0.0738,0.147,388
mom3m__spy_fwd_6m,126,spearman,0.0673,0.1856,388
mom3m__spy_fwd_6m,126,kendall,0.0484,0.1556,388
mom3m__spy_fwd_6m,126,distance,0.1463,,388
mom3m__spy_fwd_12m,252,pearson,0.0724,0.1577,382
mom3m__spy_fwd_12m,252,spearman,0.0317,0.5362,382
mom3m__spy_fwd_12m,252,kendall,0.0227,0.5096,382
mom3m__spy_fwd_12m,252,distance,0.1557,,382
mom6m__spy_fwd_1m,21,pearson,0.0743,0.1416,393
mom6m__spy_fwd_1m,21,spearman,0.0066,0.8966,393
mom6m__spy_fwd_1m,21,kendall,0.0047,0.8899,393
mom6m__spy_fwd_1m,21,distance,0.1085,,393
