direction,lag,f_statistic,p_value,significant
indicator_to_target,1,3.7181,0.0546,False
target_to_indicator,1,47.2264,0.0,True
indicator_to_target,2,1.4327,0.2399,False
target_to_indicator,2,27.1246,0.0,True
indicator_to_target,3,1.9062,0.1281,False
target_to_indicator,3,18.1995,0.0,True
indicator_to_target,4,2.1818,0.0705,False
target_to_indicator,4,13.7783,0.0,True
indicator_to_target,5,2.5444,0.0279,True
target_to_indicator,5,11.0369,0.0,True
indicator_to_target,6,1.9092,0.0784,False
target_to_indicator,6,9.7281,0.0,True
indicator_to_target,7,1.6972,0.1083,False
target_to_indicator,7,8.6209,0.0,True
indicator_to_target,8,1.9173,0.0563,False
target_to_indicator,8,8.4356,0.0,True
indicator_to_target,9,1.7011,0.0872,False
target_to_indicator,9,7.3943,0.0,True
indicator_to_target,10,1.5134,0.1325,False
target_to_indicator,10,6.6773,0.0,True
indicator_to_target,11,1.3355,0.2027,False
target_to_indicator,11,6.3769,0.0,True
indicator_to_target,12,1.487,0.1267,False
target_to_indicator,12,6.2286,0.0,True
