parameter,value,se
p[0->0],0.42077945458909366,
p[1->0],0.24976965591960856,
const[0],21.218305224714133,
const[1],-3.95671195284008,
x1[0],21.218305224714133,
x1[1],-3.95671195284008,
x2[0],1016.7680474634445,
x2[1],-186.82276752307104,
sigma2[0],0.731923186062932,
sigma2[1],0.5871890088632593,
