transform,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,best_lead,best_r
gold_copper_zscore_126d,-0.083,-0.079,-0.018,-0.060,-0.030,+0.106,+0.069,+0.077,+0.002,+0.044,-0.018,-0.091,-0.087,L5,+0.106
gold_copper_zscore_252d,-0.046,-0.066,-0.006,+0.002,+0.010,+0.090,+0.037,+0.024,-0.009,+0.015,+0.008,-0.011,-0.007,L5,+0.090
gold_copper_pctrank_504d,-0.040,-0.031,+0.025,+0.008,+0.029,+0.107,+0.074,+0.079,+0.055,+0.065,+0.082,+0.054,+0.065,L5,+0.107
gold_copper_roc_21d,-0.127*,-0.120*,-0.039,-0.014,-0.018,+0.058,+0.052,+0.079,-0.001,+0.055,+0.023,-0.028,-0.115*,L0,-0.127
gold_copper_roc_63d,-0.162**,-0.126*,-0.039,+0.033,+0.074,+0.097,+0.057,+0.064,+0.031,+0.032,-0.035,-0.041,-0.052,L0,-0.162
gold_copper_mom_21d,-0.100,-0.128*,-0.031,+0.020,-0.018,+0.031,+0.036,+0.070,-0.004,+0.056,+0.029,-0.007,-0.070,L1,-0.128
gold_copper_mom_63d,-0.155**,-0.086,-0.010,+0.015,+0.034,+0.078,+0.042,+0.046,+0.027,+0.053,-0.011,-0.017,-0.003,L0,-0.155
gold_copper_acceleration,+0.006,-0.064,-0.011,+0.017,-0.063,-0.010,-0.005,+0.068,-0.038,+0.027,+0.027,+0.051,-0.113,L12,-0.113
