lead_months,lead_unit,n_valid,best_oos_sharpe,median_oos_sharpe,p25_oos_sharpe,p75_oos_sharpe,best_signal,best_threshold,best_strategy,best_max_dd
1,weeks,118,1.2685,0.5456,0.4152,0.6814,gold_copper_mom_63d,Tp25_lo,P1,-0.1404
2,weeks,120,1.1456,0.5244,0.4161,0.623,gold_copper_acceleration,Tp90_hi,P1,-0.049
3,weeks,121,1.0813,0.586,0.421,0.7641,gold_copper_zscore_252d,Tp10_lo,P1,-0.0123
4,weeks,122,0.956,0.587,0.4319,0.699,gold_copper_mom_63d,Tp10_lo,P1,-0.0595
5,weeks,121,1.0905,0.603,0.4751,0.7668,gold_copper_mom_63d,Tp90_lo,P2,-0.2209
6,weeks,120,1.2072,0.578,0.4299,0.7268,gold_copper_acceleration,Tz1_lo,P2,-0.2321
7,weeks,115,1.3848,0.5344,0.3948,0.6898,gold_copper_roc_21d,Trp25_lo,P1,-0.0793
8,weeks,123,1.1124,0.537,0.4026,0.6416,gold_copper_mom_21d,Tp25_lo,P1,-0.0579
9,weeks,123,1.0665,0.5261,0.4363,0.6396,gold_copper_roc_21d,Tp10_lo,P1,-0.035
10,weeks,128,0.865,0.5239,0.4083,0.6128,gold_copper_acceleration,Tp90_lo,P2,-0.444
11,weeks,125,0.9294,0.5516,0.4171,0.644,gold_copper_acceleration,Tp25_lo,P1,-0.1502
12,weeks,124,1.0563,0.5394,0.4234,0.6745,gold_copper_roc_21d,Trp25_hi,P2,-0.1751
13,weeks,127,1.2185,0.5125,0.4133,0.6089,gold_copper_acceleration,Trp25_lo,P1,-0.0776
14,weeks,116,1.289,0.5699,0.4208,0.7107,gold_copper_roc_21d,Tp75_hi,P1,-0.0843
15,weeks,122,1.2564,0.5443,0.424,0.6554,gold_copper_acceleration,Trp75_hi,P1,-0.1234
16,weeks,118,1.0206,0.5174,0.4197,0.6577,gold_copper_acceleration,Tp90_hi,P1,-0.0352
17,weeks,124,1.4589,0.5293,0.4298,0.6713,gold_copper_mom_21d,Trp25_hi,P2,-0.2204
18,weeks,127,0.895,0.5408,0.4218,0.6255,gold_copper_pctrank_504d,Tz1_lo,P1,-0.2124
19,weeks,128,1.3207,0.55,0.4368,0.6532,gold_copper_zscore_126d,Tp10_lo,P1,-0.0153
20,weeks,127,1.0583,0.5608,0.4656,0.6553,gold_copper_mom_63d,Tp75_lo,P1,-0.1545
21,weeks,127,1.2053,0.5802,0.4465,0.7283,gold_copper_roc_63d,Trp75_lo,P2,-0.292
22,weeks,122,1.1106,0.5796,0.4697,0.6931,gold_copper_zscore_126d,Trp25_lo,P1,-0.0545
23,weeks,123,1.0279,0.6145,0.4769,0.6965,gold_copper_zscore_252d,Tz1_lo,P1,-0.2124
24,weeks,126,1.2044,0.5261,0.4353,0.6511,gold_copper_acceleration,Tp10_hi,P2,-0.1859
25,weeks,124,1.1127,0.6145,0.4761,0.726,gold_copper_roc_63d,Tz1_lo,P2,-0.2124
26,weeks,118,1.0486,0.5835,0.4518,0.6736,gold_copper_acceleration,Tp25_hi,P1,-0.18
27,weeks,115,1.0666,0.6345,0.4991,0.7462,gold_copper_roc_63d,Tp90_lo,P2,-0.2124
28,weeks,119,1.3038,0.7484,0.5512,0.8976,gold_copper_roc_21d,Tp90_lo,P2,-0.1942
29,weeks,117,1.0938,0.6458,0.5289,0.7872,gold_copper_zscore_126d,Tp90_lo,P2,-0.2178
30,weeks,121,1.1139,0.644,0.5264,0.7971,gold_copper_zscore_252d,Tz1_lo,P1,-0.2124
31,weeks,120,1.0254,0.59,0.4773,0.6949,gold_copper_zscore_252d,Tp90_lo,P1,-0.2124
32,weeks,119,1.0343,0.569,0.4489,0.701,gold_copper_roc_63d,Tp90_lo,P1,-0.2124
33,weeks,120,1.1158,0.6008,0.4726,0.7233,gold_copper_zscore_252d,Tp90_lo,P1,-0.2124
34,weeks,123,0.9513,0.5417,0.4452,0.6711,gold_copper_mom_21d,Trp25_lo,P1,-0.0921
35,weeks,118,1.186,0.5907,0.4779,0.7425,gold_copper_mom_21d,Trp25_lo,P1,-0.0506
36,weeks,123,1.0275,0.5939,0.4705,0.7426,gold_copper_mom_63d,Tp25_lo,P1,-0.0714
37,weeks,118,0.9803,0.6144,0.4735,0.7206,gold_copper_acceleration,Tz1_hi,P1,-0.0578
38,weeks,114,1.0007,0.6163,0.4806,0.7085,gold_copper_acceleration,Tp75_hi,P1,-0.0702
39,weeks,114,1.0523,0.6134,0.487,0.7041,gold_copper_acceleration,Tp25_hi,P2,-0.3927
40,weeks,122,1.0333,0.5632,0.4384,0.6699,gold_copper_roc_21d,Trp75_lo,P1,-0.2043
41,weeks,123,1.345,0.5477,0.4023,0.6479,gold_copper_mom_21d,Tp25_lo,P1,-0.0842
42,weeks,121,1.266,0.5713,0.464,0.7241,gold_copper_roc_63d,Tp75_hi,P1,-0.1117
43,weeks,121,1.2377,0.6606,0.5204,0.8112,gold_copper_mom_63d,Trp75_hi,P1,-0.1117
44,weeks,114,1.3015,0.6627,0.5015,0.7716,gold_copper_acceleration,Tp25_lo,P1,-0.0738
45,weeks,115,1.2889,0.7366,0.5177,0.8925,gold_copper_zscore_252d,Tp75_hi,P1,-0.1117
46,weeks,111,1.1908,0.6738,0.4596,0.8964,gold_copper_roc_21d,Tp90_hi,P1,-0.0157
47,weeks,110,1.2502,0.7841,0.5707,0.9802,gold_copper_mom_63d,Trp75_hi,P1,-0.1117
48,weeks,106,1.1984,0.7789,0.5872,0.9414,gold_copper_zscore_126d,Trp75_hi,P1,-0.1117
49,weeks,111,1.2404,0.625,0.4546,0.7811,gold_copper_roc_21d,Tp90_hi,P1,-0.054
50,weeks,112,1.1067,0.5958,0.4114,0.7659,gold_copper_roc_21d,Tp75_hi,P1,-0.0798
51,weeks,120,0.9979,0.5753,0.4063,0.7427,gold_copper_mom_21d,Trp25_hi,P2,-0.2307
52,weeks,117,1.0417,0.6157,0.4804,0.7189,gold_copper_pctrank_504d,Trp75_hi,P1,-0.1577
