transform,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,best_lead,best_r
gold_copper_zscore_126d,-0.029,-0.003,-0.032,-0.024,-0.030,-0.021,-0.003,-0.000,-0.018,-0.019,+0.001,-0.011,-0.017,-0.007,-0.012,-0.001,+0.012,-0.004,-0.026,-0.022,+0.007,+0.030,+0.049,+0.052,+0.040,+0.042,+0.030,+0.018,+0.001,+0.007,+0.018,+0.032,+0.007,+0.027,-0.015,-0.020,-0.010,+0.003,+0.009,-0.003,+0.004,+0.010,+0.009,+0.000,+0.007,-0.016,-0.019,-0.017,-0.032,-0.027,-0.033,-0.019,L24,+0.052
gold_copper_zscore_252d,-0.017,+0.012,-0.018,-0.012,-0.026,-0.010,-0.004,-0.005,-0.013,-0.007,+0.003,-0.005,-0.008,+0.005,+0.015,+0.014,+0.021,+0.004,-0.008,-0.005,+0.025,+0.031,+0.045,+0.040,+0.030,+0.024,+0.017,-0.004,-0.007,-0.009,+0.008,+0.017,-0.001,+0.009,-0.012,-0.014,-0.008,+0.002,+0.010,+0.003,+0.004,+0.009,+0.008,+0.001,+0.012,+0.002,+0.003,+0.010,-0.002,+0.001,+0.001,+0.014,L23,+0.045
gold_copper_pctrank_504d,-0.016,-0.001,-0.012,-0.009,-0.009,-0.012,-0.003,+0.006,+0.001,+0.006,+0.012,+0.006,+0.006,+0.014,+0.019,+0.023,+0.026,+0.021,+0.006,+0.011,+0.022,+0.036,+0.043,+0.046,+0.037,+0.037,+0.030,+0.027,+0.027,+0.031,+0.036,+0.037,+0.027,+0.039,+0.021,+0.019,+0.026,+0.024,+0.024,+0.020,+0.017,+0.024,+0.035,+0.032,+0.043,+0.034,+0.031,+0.033,+0.022,+0.033,+0.026,+0.041,L24,+0.046
gold_copper_roc_21d,-0.039,-0.003,-0.055*,-0.039,-0.042,-0.030,-0.033,-0.023,-0.019,-0.040,-0.019,-0.024,-0.034,+0.007,+0.023,+0.006,+0.012,-0.037,-0.037,-0.019,+0.036,+0.034,+0.068*,+0.067*,+0.044,+0.028,-0.010,-0.031,-0.003,-0.007,+0.045,+0.046,+0.018,+0.013,-0.032,-0.005,+0.009,+0.018,+0.041,+0.030,+0.003,+0.018,+0.016,+0.009,+0.019,-0.012,-0.030,-0.007,-0.016,-0.013,+0.008,+0.018,L23,+0.068
gold_copper_roc_63d,-0.041,-0.033,-0.055*,-0.046,-0.041,-0.027,-0.022,-0.035,-0.041,-0.041,-0.018,-0.006,+0.008,+0.024,+0.036,+0.044,+0.047,+0.031,+0.013,+0.022,+0.039,+0.046,+0.050,+0.039,+0.016,+0.014,+0.002,+0.003,+0.007,+0.020,+0.034,+0.035,+0.022,+0.029,+0.013,+0.019,+0.018,+0.017,+0.017,+0.008,+0.003,+0.007,+0.009,-0.000,-0.001,-0.018,-0.026,-0.016,-0.013,-0.009,-0.003,-0.003,L3,-0.055
gold_copper_mom_21d,-0.032,-0.005,-0.062*,-0.034,-0.035,-0.036,-0.038,-0.028,-0.034,-0.030,-0.017,-0.011,-0.020,+0.020,+0.036,+0.016,+0.026,-0.023,-0.034,-0.017,+0.018,+0.020,+0.048,+0.049,+0.025,+0.012,-0.020,-0.039,-0.010,-0.004,+0.044,+0.047,+0.011,+0.007,-0.026,-0.005,+0.012,+0.017,+0.041,+0.033,-0.004,+0.012,+0.011,+0.009,+0.026,+0.003,-0.014,+0.009,-0.005,-0.007,+0.019,+0.029,L3,-0.062
gold_copper_mom_63d,-0.048,-0.030,-0.053,-0.040,-0.036,-0.013,+0.001,-0.012,-0.020,-0.020,-0.008,+0.001,+0.013,+0.022,+0.023,+0.025,+0.030,+0.012,-0.009,+0.001,+0.021,+0.033,+0.037,+0.027,+0.012,+0.013,+0.003,-0.000,+0.006,+0.018,+0.030,+0.029,+0.013,+0.023,+0.008,+0.017,+0.022,+0.021,+0.025,+0.019,+0.008,+0.016,+0.020,+0.016,+0.013,-0.006,-0.007,+0.002,+0.003,+0.004,+0.010,+0.012,L3,-0.053
gold_copper_acceleration,-0.008,+0.031,-0.016,-0.016,-0.016,-0.008,-0.016,-0.006,+0.000,-0.050,-0.035,-0.023,-0.033,+0.034,+0.049,+0.013,-0.003,-0.067*,-0.069*,-0.057*,-0.002,-0.001,+0.058*,+0.068*,+0.034,+0.005,-0.038,-0.061*,-0.013,-0.012,+0.053,+0.040,+0.010,-0.005,-0.050,-0.023,+0.002,+0.004,+0.023,+0.025,-0.011,+0.019,+0.034,+0.021,+0.021,-0.010,-0.034,-0.015,-0.013,+0.005,+0.045,+0.045,L19,-0.069
