signal,threshold,threshold_value,strategy,lead_days,oos_sharpe,oos_ann_return,oos_max_drawdown,annual_turnover,oos_n,valid
gold_copper_zscore_126d,T1_p25,-1.0407,P2_long_short,21,-0.2383,-0.0744,-0.6198,19.95,1566,False
gold_copper_zscore_126d,T1_p25,-1.0407,P2_long_short,63,-0.7904,-0.1808,-0.7457,19.95,1566,False
gold_copper_zscore_126d,T1_p25,-1.0407,P2_long_short,126,-0.3092,-0.0888,-0.6453,19.63,1566,False
gold_copper_zscore_126d,T1_p25,-1.0407,P2_long_short,252,-0.3402,-0.0949,-0.7068,19.95,1566,False
gold_copper_zscore_126d,T2_p50,-0.0334,P1_long_cash,0,1.273,0.1345,-0.0825,16.41,1566,True
gold_copper_zscore_126d,T2_p50,-0.0334,P1_long_cash,1,0.4298,0.0417,-0.1909,16.41,1566,True
gold_copper_zscore_126d,T2_p50,-0.0334,P1_long_cash,5,0.5768,0.0623,-0.1757,16.25,1566,True
gold_copper_zscore_126d,T2_p50,-0.0334,P1_long_cash,21,0.5766,0.0627,-0.1737,16.57,1566,True
gold_copper_zscore_126d,T2_p50,-0.0334,P1_long_cash,63,0.1131,0.0051,-0.4109,17.06,1566,True
gold_copper_zscore_126d,T2_p50,-0.0334,P1_long_cash,126,0.4393,0.0438,-0.2034,16.9,1566,True
gold_copper_zscore_126d,T2_p50,-0.0334,P1_long_cash,252,0.0432,-0.0062,-0.423,16.09,1566,True
gold_copper_zscore_126d,T2_p50,-0.0334,P2_long_short,0,0.5338,0.0981,-0.3958,32.83,1566,True
gold_copper_zscore_126d,T2_p50,-0.0334,P2_long_short,1,-0.2321,-0.0731,-0.6214,32.83,1566,False
gold_copper_zscore_126d,T2_p50,-0.0334,P2_long_short,5,-0.0482,-0.0345,-0.5234,32.51,1566,False
gold_copper_zscore_126d,T2_p50,-0.0334,P2_long_short,21,-0.0438,-0.0336,-0.5461,33.15,1566,False
gold_copper_zscore_126d,T2_p50,-0.0334,P2_long_short,63,-0.4894,-0.1245,-0.6305,34.11,1566,False
gold_copper_zscore_126d,T2_p50,-0.0334,P2_long_short,126,-0.2116,-0.0689,-0.6035,33.79,1566,False
