transform,L0,L1,L5,L21,L63,L126,L252,best_lead,best_r
gold_copper_zscore_252d,-0.0064,-0.0041,-0.0045,-0.0072,0.0009,0.0133,0.0006,126,0.0133
gold_copper_zscore_126d,-0.0094,-0.0068,-0.009,-0.0116,-0.002,0.0188,-0.0113,126,0.0188
gold_copper_pctrank_504d,-0.0057,-0.0049,-0.0028,-0.0046,0.0028,0.017,0.0155,126,0.017
gold_copper_roc_63d,-0.0137,-0.011,-0.0144,-0.021,0.001,0.0083,-0.005,21,-0.021
gold_copper_roc_126d,-0.0162,-0.0151,-0.0186,-0.0055,0.012,0.0124,0.0042,5,-0.0186
