signal,threshold,threshold_value,strategy,lead_days,oos_sharpe,oos_ann_return,oos_max_drawdown,annual_turnover,oos_n,valid
gold_copper_zscore_126d,T2_p50,-0.0334,P1_long_cash,0,1.273,13.45,-8.25,16.41,1566,True
gold_copper_roc_63d,T2_p50,0.2018,P1_long_cash,0,1.2546,14.73,-9.48,21.89,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P1_long_cash,0,1.1305,17.17,-20.97,16.74,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P1_long_cash,0,0.9249,13.29,-24.67,9.01,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P1_long_cash,0,0.9196,11.79,-17.89,16.09,1566,True
gold_copper_roc_63d,T1_p25,-6.739,P1_long_cash,1,0.8951,6.5,-8.38,8.85,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P2_long_short,0,0.8799,18.54,-28.88,33.47,1566,True
gold_copper_pctrank_504d,T1_p25,0.1605,P1_long_cash,0,0.8682,4.63,-5.91,8.37,1566,True
gold_copper_roc_126d,T1_p25,-9.8165,P1_long_cash,0,0.8363,5.9,-8.25,3.54,1566,True
gold_copper_roc_63d,T1_p25,-6.739,P1_long_cash,0,0.8143,5.94,-7.76,8.85,1566,True
gold_copper_zscore_126d,T1_p25,-1.0407,P1_long_cash,0,0.8142,5.94,-8.25,9.66,1566,True
gold_copper_roc_126d,T2_p50,0.8514,P1_long_cash,0,0.8007,7.58,-8.5,10.3,1566,True
gold_copper_roc_63d,T1_p25,-6.739,P1_long_cash,5,0.7896,6.3,-14.23,8.85,1566,True
gold_copper_roc_126d,T1_p25,-9.8165,P1_long_cash,1,0.7042,4.84,-8.25,3.54,1566,True
gold_copper_pctrank_504d,T3_p75,0.841,P1_long_cash,0,0.6888,8.51,-21.64,9.66,1566,True
gold_copper_roc_63d,T2_p50,0.2018,P1_long_cash,5,0.6573,7.8,-19.53,21.72,1566,True
gold_copper_roc_63d,T2_p50,0.2018,P2_long_short,0,0.6466,12.59,-35.99,43.77,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P1_long_cash,1,0.6181,8.74,-29.44,16.74,1566,True
gold_copper_zscore_252d,T1_p25,-0.9767,P1_long_cash,0,0.617,3.36,-6.3,4.51,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P1_long_cash,1,0.6101,7.45,-19.8,16.09,1566,True
gold_copper_roc_126d,T1_p25,-9.8165,P1_long_cash,5,0.6098,4.11,-8.45,3.54,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P1_long_cash,1,0.6024,8.26,-25.93,9.01,1566,True
gold_copper_zscore_252d,T2_p50,0.0526,P1_long_cash,0,0.5816,4.97,-10.67,7.08,1566,True
gold_copper_zscore_126d,T2_p50,-0.0334,P1_long_cash,5,0.5768,6.23,-17.57,16.25,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P2_long_short,0,0.5693,10.68,-32.7,18.02,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P1_long_cash,5,0.5624,6.97,-27.19,15.93,1566,True
gold_copper_roc_63d,T3_p75,7.5433,P1_long_cash,5,0.562,7.69,-21.29,9.01,1566,True
gold_copper_pctrank_504d,T3_p75,0.841,P1_long_cash,1,0.5591,6.77,-21.64,9.66,1566,True
gold_copper_roc_63d,T2_p50,0.2018,P1_long_cash,1,0.5579,6.09,-25.42,21.89,1566,True
gold_copper_roc_126d,T2_p50,0.8514,P1_long_cash,5,0.5481,5.13,-19.91,10.62,1566,True
gold_copper_zscore_126d,T2_p50,-0.0334,P2_long_short,0,0.5338,9.81,-39.58,32.83,1566,True
gold_copper_roc_126d,T3_p75,11.28,P1_long_cash,0,0.516,7.11,-23.37,9.49,1566,True
gold_copper_roc_126d,T2_p50,0.8514,P1_long_cash,1,0.5072,4.55,-12.67,10.3,1566,True
gold_copper_zscore_252d,T1_p25,-0.9767,P1_long_cash,1,0.4802,2.58,-7.58,4.51,1566,True
gold_copper_zscore_126d,T3_p75,1.18,P1_long_cash,5,0.4716,6.4,-35.57,16.74,1566,True
gold_copper_pctrank_504d,T3_p75,0.841,P1_long_cash,5,0.458,5.6,-21.64,9.49,1566,True
gold_copper_zscore_126d,T2_p50,-0.0334,P1_long_cash,1,0.4298,4.17,-19.09,16.41,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P2_long_short,0,0.429,7.29,-36.36,32.18,1566,True
gold_copper_zscore_126d,T1_p25,-1.0407,P1_long_cash,1,0.4259,3.09,-15.16,9.66,1566,True
gold_copper_zscore_252d,T2_p50,0.0526,P1_long_cash,5,0.3885,3.22,-22.64,7.08,1566,True
gold_copper_roc_126d,T3_p75,11.28,P1_long_cash,1,0.3527,4.37,-20.43,9.49,1566,True
