lead_months,n_valid,best_oos_sharpe,median_oos_sharpe,p25_oos_sharpe,p75_oos_sharpe,best_signal,best_threshold,best_strategy,best_max_dd
0,117,1.0161,0.5394,0.4459,0.6557,gold_copper_mom_63d,Tp25_lo,P1,-0.0433
1,122,1.1945,0.6046,0.4661,0.7878,gold_copper_zscore_252d,Tp90_lo,P2,-0.1314
2,122,1.0378,0.5427,0.4528,0.6626,gold_copper_acceleration,Trp25_lo,P1,-0.0427
3,125,0.8834,0.5423,0.4413,0.6781,gold_copper_mom_21d,Tp90_hi,P1,-0.0233
4,123,0.9734,0.5908,0.4718,0.7182,gold_copper_mom_63d,Tp25_lo,P1,-0.0765
5,124,1.3147,0.6168,0.4955,0.8787,gold_copper_acceleration,Tz1_lo,P2,-0.2073
6,116,1.1171,0.6001,0.4973,0.7358,gold_copper_roc_63d,Tp90_lo,P2,-0.2073
7,122,0.9368,0.6067,0.4796,0.7475,gold_copper_roc_63d,Tp90_lo,P1,-0.2073
8,120,0.9413,0.6339,0.528,0.7846,gold_copper_roc_21d,Tz1_lo,P1,-0.2073
9,125,0.9945,0.6211,0.4319,0.7433,gold_copper_roc_63d,Tp25_hi,P2,-0.1897
10,117,1.3696,0.6843,0.4912,1.0048,gold_copper_pctrank_504d,Tfix07_hi,P1,-0.1056
11,114,1.1247,0.6721,0.4588,0.8228,gold_copper_pctrank_504d,Tfix07_hi,P1,-0.1056
12,134,1.1593,0.588,0.4363,0.7319,gold_copper_pctrank_504d,Tp90_hi,P1,-0.0099
