date,p_state0,p_state1,viterbi_state,p_stress
2001-06-06,0.0005638442626283352,0.9994361557373634,1,0.9994361557373634
2001-06-07,2.2778963136289406e-05,0.9999772210368555,1,0.9999772210368555
2001-06-08,1.274527030290799e-09,0.999999998725465,1,0.999999998725465
2001-06-11,1.232166329205528e-07,0.9999998767833589,1,0.9999998767833589
2001-06-12,7.53330206564152e-09,0.9999999924666899,1,0.9999999924666899
2001-06-13,3.212568791590737e-09,0.9999999967874231,1,0.9999999967874231
2001-06-14,1.2772923181468187e-09,0.9999999987226996,1,0.9999999987226996
2001-06-15,4.980374024972618e-09,0.9999999950196179,1,0.9999999950196179
2001-06-18,4.96837728256605e-09,0.9999999950316147,1,0.9999999950316147
2001-06-19,1.6567432382563527e-08,0.9999999834325598,1,0.9999999834325598
2001-06-20,4.5629903427626075e-09,0.9999999954370017,1,0.9999999954370017
2001-06-21,3.0396291427859555e-08,0.9999999696037007,1,0.9999999696037007
2001-06-22,1.2763966942689617e-08,0.9999999872360251,1,0.9999999872360251
2001-06-25,7.812331408613531e-09,0.9999999921876607,1,0.9999999921876607
2001-06-26,6.435382558458418e-09,0.9999999935646094,1,0.9999999935646094
2001-06-27,3.740664550353898e-07,0.999999625933537,1,0.999999625933537
2001-06-28,1.16351472165309e-07,0.9999998836485201,1,0.9999998836485201
2001-06-29,3.9855772428127896e-08,0.9999999601442198,1,0.9999999601442198
2001-07-02,4.295176861959259e-07,0.999999570482306,1,0.999999570482306
2001-07-03,4.002084062774535e-07,0.9999995997915858,1,0.9999995997915858
2001-07-04,5.058933191337604e-07,0.999999494106673,1,0.999999494106673
2001-07-05,5.423227920629994e-07,0.9999994576772001,1,0.9999994576772001
2001-07-06,1.1742754174542369e-06,0.9999988257245747,1,0.9999988257245747
2001-07-09,8.062400204367187e-07,0.9999991937599716,1,0.9999991937599716
2001-07-10,3.915209973950173e-06,0.9999960847900181,1,0.9999960847900181
2001-07-11,1.0997206404246826e-06,0.9999989002793517,1,0.9999989002793517
2001-07-12,7.409355832930907e-07,0.9999992590644088,1,0.9999992590644088
2001-07-13,1.0104831127759546e-06,0.9999989895168794,1,0.9999989895168794
2001-07-16,1.821633794756941e-06,0.9999981783661973,1,0.9999981783661973
2001-07-17,5.739030866839499e-06,0.9999942609691251,1,0.9999942609691251
2001-07-18,4.283261735937428e-07,0.9999995716738185,1,0.9999995716738185
2001-07-19,1.2150960214956177e-07,0.99999987849039,1,0.99999987849039
2001-07-20,3.0656166394834196e-07,0.9999996934383282,1,0.9999996934383282
2001-07-23,7.018500201042853e-08,0.9999999298149902,1,0.9999999298149902
2001-07-24,5.200600166088439e-08,0.9999999479939907,1,0.9999999479939907
2001-07-25,2.3224005016069638e-07,0.999999767759942,1,0.999999767759942
2001-07-26,4.0139116368087823e-07,0.9999995986088285,1,0.9999995986088285
2001-07-27,1.075945896684629e-07,0.9999998924054024,1,0.9999998924054024
2001-07-30,4.702881235826675e-07,0.9999995297118686,1,0.9999995297118686
2001-07-31,5.747276276070857e-07,0.9999994252723645,1,0.9999994252723645
2001-08-01,9.384102002100869e-07,0.9999990615897919,1,0.9999990615897919
2001-08-02,4.86570865985844e-07,0.9999995134291263,1,0.9999995134291263
2001-08-03,2.3729161230904492e-07,0.99999976270838,1,0.99999976270838
2001-08-06,1.5467446499363674e-07,0.9999998453255272,1,0.9999998453255272
2001-08-07,1.367199458338903e-07,0.9999998632800464,1,0.9999998632800464
2001-08-08,3.4790797569351964e-08,0.9999999652091947,1,0.9999999652091947
2001-08-09,1.3300000765260213e-08,0.9999999866999916,1,0.9999999866999916
2001-08-10,5.340700360215558e-09,0.9999999946592919,1,0.9999999946592919
2001-08-13,1.385792509807125e-09,0.9999999986141999,1,0.9999999986141999
2001-08-14,8.693872157529898e-09,0.9999999913061203,1,0.9999999913061203
2001-08-15,5.487069386202967e-09,0.9999999945129229,1,0.9999999945129229
2001-08-16,4.8844435172804674e-08,0.9999999511555573,1,0.9999999511555573
2001-08-17,3.0628000443757365e-07,0.999999693719988,1,0.999999693719988
2001-08-20,3.1099785476832735e-07,0.9999996890021378,1,0.9999996890021378
2001-08-21,3.086969663612124e-07,0.9999996913030261,1,0.9999996913030261
2001-08-22,8.917959669324061e-07,0.9999991082040254,1,0.9999991082040254
2001-08-23,2.6779436865776312e-06,0.9999973220563058,1,0.9999973220563058
2001-08-24,6.370235634431567e-06,0.9999936297643579,1,0.9999936297643579
2001-08-27,2.293031768373389e-05,0.9999770696823087,1,0.9999770696823087
2001-08-28,1.8454891226676276e-05,0.9999815451087658,1,0.9999815451087658
2001-08-29,2.1781189474529542e-05,0.9999782188105181,1,0.9999782188105181
2001-08-30,3.911015750280571e-06,0.9999960889842422,1,0.9999960889842422
2001-08-31,4.081167582975179e-06,0.9999959188324095,1,0.9999959188324095
2001-09-03,4.673574392644323e-06,0.9999953264255997,1,0.9999953264255997
