quartile,mean,median,std,count,mean_pct,median_pct,std_pct
Q1_low,0.03928347629012553,0.03947144943782055,0.05386769651306407,1587,3.93,3.95,5.39
Q2,0.02446710097224178,0.03322438200802358,0.09119082107385389,1587,2.45,3.32,9.12
Q3,0.009244310613871229,0.020426824320766368,0.10549345443015835,1587,0.92,2.04,10.55
Q4_high,0.02920543584072182,0.03663632442807718,0.10307881014170883,1587,2.92,3.66,10.31
