signal,threshold,threshold_value,threshold_rule,strategy,lead_days,lead_months,oos_sharpe,oos_ann_return,oos_max_drawdown,annual_turnover,oos_n,valid
gold_copper_mom_63d,Tzn1_lo,-1.0,lte,P1_long_cash,0,0,1.165,13.15,-9.48,22.21,1566,True
gold_copper_mom_63d,Tz1_hi,1.0,gte,P1_long_cash,252,12,1.1644,15.21,-18.32,18.99,1566,True
gold_copper_pctrank_504d,Tp50_hi,0.5268,gte,P1_long_cash,231,11,1.1627,20.2,-18.46,4.83,1566,True
gold_copper_acceleration,Tz1_lo,-1.0,lte,P1_long_cash,42,2,1.1619,15.13,-9.74,34.28,1566,True
gold_copper_acceleration,Tzn1_lo,-1.0,lte,P1_long_cash,42,2,1.1619,15.13,-9.74,34.28,1566,True
gold_copper_zscore_504d,Tp50_hi,-0.0203,gte,P1_long_cash,231,11,1.1618,20.06,-18.46,3.22,1566,True
gold_copper_roc_63d,Tp50_hi,0.2018,gte,P1_long_cash,252,12,1.1613,15.16,-19.23,19.31,1566,True
gold_copper_roc_5d,Tp90_lo,4.3297,lte,P2_long_short,0,0,1.1599,26.04,-23.3,33.47,1566,True
gold_copper_mom_252d,Tp90_hi,132.6641,gte,P1_long_cash,231,11,1.1571,5.96,-6.3,4.51,1566,True
gold_copper_mom_63d,Tp90_lo,61.1186,lte,P2_long_short,126,6,1.1557,25.99,-21.64,19.63,1566,True
gold_copper_roc_63d,Tfix07_hi,0.7,gte,P1_long_cash,252,12,1.1518,14.74,-19.12,21.56,1566,True
gold_copper_mom_63d,Tp50_lo,0.758,lte,P1_long_cash,105,5,1.1506,15.61,-11.51,19.63,1566,True
gold_copper_mom_21d,Tz1_lo,-1.0,lte,P1_long_cash,0,0,1.1499,14.74,-20.49,33.15,1566,True
gold_copper_mom_21d,Tzn1_lo,-1.0,lte,P1_long_cash,0,0,1.1499,14.74,-20.49,33.15,1566,True
gold_copper_roc_126d,Tz1_lo,-1.0,lte,P1_long_cash,0,0,1.1479,10.1,-8.25,12.87,1566,True
gold_copper_roc_126d,Tzn1_lo,-1.0,lte,P1_long_cash,0,0,1.1479,10.1,-8.25,12.87,1566,True
gold_copper_roc_21d,Tp50_lo,0.0209,lte,P1_long_cash,210,10,1.1453,13.58,-14.76,30.57,1566,True
gold_copper_mom_21d,Tp50_lo,0.098,lte,P1_long_cash,210,10,1.1453,13.58,-14.76,30.57,1566,True
gold_copper_roc_63d,Tp50_lo,0.2018,lte,P1_long_cash,105,5,1.144,15.51,-11.51,20.6,1566,True
gold_copper_mom_63d,Tz1_lo,-1.0,lte,P1_long_cash,105,5,1.1433,15.22,-11.51,21.24,1566,True
gold_copper_mom_63d,Tzn1_lo,-1.0,lte,P1_long_cash,105,5,1.1433,15.22,-11.51,21.24,1566,True
gold_copper_pctrank_504d,Tp50_hi,0.5268,gte,P2_long_short,231,11,1.1408,25.57,-20.77,9.66,1566,True
gold_copper_roc_21d,Trp25_lo,-4.0484,lte,P1_long_cash,210,10,1.1406,7.76,-8.19,20.76,1566,True
gold_copper_roc_21d,Tp25_lo,-4.0484,lte,P1_long_cash,210,10,1.1406,7.76,-8.19,20.76,1566,True
gold_copper_roc_21d,Tfix03_lo,0.3,lte,P1_long_cash,0,0,1.1372,14.96,-23.21,31.54,1566,True
gold_copper_roc_126d,Tp75_hi,11.28,gte,P1_long_cash,210,10,1.1338,11.0,-12.92,7.72,1566,True
gold_copper_mom_21d,Tfix03_lo,0.3,lte,P1_long_cash,210,10,1.1338,13.46,-14.76,30.25,1566,True
gold_copper_roc_63d,Tzn1_lo,-1.0,lte,P1_long_cash,0,0,1.1332,12.27,-9.28,19.47,1566,True
gold_copper_roc_63d,Tz1_lo,-1.0,lte,P1_long_cash,0,0,1.1332,12.27,-9.28,19.47,1566,True
gold_copper_zscore_126d,Tp75_lo,1.18,lte,P1_long_cash,0,0,1.1305,17.17,-20.97,16.74,1566,True
gold_copper_zscore_504d,Tp50_hi,-0.0203,gte,P2_long_short,231,11,1.1285,25.23,-21.85,6.44,1566,True
gold_copper_roc_126d,Tp90_lo,26.555,lte,P2_long_short,105,5,1.1222,25.06,-21.64,12.23,1566,True
gold_copper_roc_21d,Tfix03_lo,0.3,lte,P1_long_cash,42,2,1.1208,14.97,-14.6,30.41,1566,True
gold_copper_roc_63d,Tfix03_lo,0.3,lte,P1_long_cash,105,5,1.1153,15.15,-12.2,21.56,1566,True
gold_copper_zscore_252d,Tp90_lo,2.0171,lte,P1_long_cash,147,7,1.1069,18.42,-21.64,8.85,1566,True
gold_copper_roc_63d,Tz1_hi,1.0,gte,P1_long_cash,252,12,1.1052,13.86,-20.3,20.11,1566,True
gold_copper_pctrank_504d,Tp90_lo,0.9722,lte,P1_long_cash,0,0,1.1036,19.0,-21.64,14.48,1566,True
gold_copper_mom_21d,Tz1_hi,1.0,gte,P1_long_cash,231,11,1.099,17.24,-15.39,29.13,1566,True
gold_copper_zscore_252d,Tp50_hi,0.0526,gte,P2_long_short,231,11,1.0989,24.42,-19.92,15.45,1566,True
gold_copper_roc_21d,Tz1_lo,-1.0,lte,P1_long_cash,210,10,1.0987,11.89,-13.4,35.72,1566,True
gold_copper_roc_21d,Tzn1_lo,-1.0,lte,P1_long_cash,210,10,1.0987,11.89,-13.4,35.72,1566,True
gold_copper_mom_63d,Tp75_lo,28.7156,lte,P1_long_cash,105,5,1.0932,18.65,-15.89,8.69,1566,True
gold_copper_roc_63d,Tp75_hi,7.5433,gte,P1_long_cash,231,11,1.0932,10.95,-12.92,7.4,1566,True
gold_copper_acceleration,Tp50_lo,-0.0707,lte,P1_long_cash,42,2,1.0863,14.53,-12.5,34.28,1566,True
gold_copper_mom_21d,Tzn1_lo,-1.0,lte,P1_long_cash,210,10,1.086,12.57,-16.26,32.51,1566,True
gold_copper_mom_21d,Tz1_lo,-1.0,lte,P1_long_cash,210,10,1.086,12.57,-16.26,32.51,1566,True
gold_copper_roc_21d,Tz1_hi,1.0,gte,P1_long_cash,252,12,1.0855,15.92,-16.59,30.74,1566,True
gold_copper_acceleration,Tfix07_hi,0.7,gte,P1_long_cash,189,9,1.0842,14.31,-15.01,34.11,1566,True
gold_copper_mom_63d,Tp90_lo,61.1186,lte,P1_long_cash,126,6,1.0833,20.1,-21.64,9.82,1566,True
gold_copper_zscore_252d,Tp75_lo,1.0726,lte,P1_long_cash,105,5,1.0829,16.83,-19.81,16.09,1566,True
gold_copper_zscore_504d,Tz1_hi,1.0,gte,P1_long_cash,231,11,1.0785,14.1,-12.92,8.53,1566,True
gold_copper_roc_63d,Tp25_hi,-6.739,gte,P2_long_short,231,11,1.0785,23.86,-22.11,18.67,1566,True
gold_copper_acceleration,Tz1_hi,1.0,gte,P1_long_cash,189,9,1.078,14.12,-15.01,33.47,1566,True
gold_copper_roc_5d,Tp25_lo,-2.0781,lte,P1_long_cash,84,4,1.0773,12.33,-12.57,44.41,1566,True
gold_copper_roc_5d,Trp25_lo,-2.0781,lte,P1_long_cash,84,4,1.0773,12.33,-12.57,44.41,1566,True
gold_copper_roc_126d,Tp90_lo,26.555,lte,P1_long_cash,105,5,1.0701,19.68,-21.64,6.11,1566,True
gold_copper_zscore_252d,Tfix07_hi,0.7,gte,P1_long_cash,231,11,1.0694,13.92,-12.92,14.48,1566,True
gold_copper_acceleration,Tp50_hi,-0.0707,gte,P1_long_cash,126,6,1.0692,13.94,-12.71,34.44,1566,True
gold_copper_roc_126d,Tp75_hi,11.28,gte,P1_long_cash,231,11,1.0627,8.74,-10.37,7.72,1566,True
gold_copper_zscore_126d,Tfix03_lo,0.3,lte,P1_long_cash,105,5,1.0623,15.31,-19.99,18.34,1566,True
gold_copper_roc_21d,Tp90_lo,8.7798,lte,P2_long_short,147,7,1.0622,23.4,-21.0,17.7,1566,True
gold_copper_roc_63d,Tp75_hi,7.5433,gte,P1_long_cash,210,10,1.0618,13.87,-15.8,7.08,1566,True
gold_copper_roc_63d,Tp25_hi,-6.739,gte,P1_long_cash,231,11,1.0578,19.16,-19.2,9.33,1566,True
gold_copper_pctrank_504d,Tp90_lo,0.9722,lte,P2_long_short,0,0,1.0518,23.09,-25.83,28.97,1566,True
gold_copper_roc_21d,Tp90_lo,8.7798,lte,P1_long_cash,147,7,1.0516,18.95,-18.15,8.85,1566,True
gold_copper_roc_5d,Tp90_lo,4.3297,lte,P1_long_cash,0,0,1.0509,19.99,-25.11,16.74,1566,True
gold_copper_mom_63d,Tp75_hi,28.7156,gte,P1_long_cash,252,12,1.0478,10.26,-12.92,9.49,1566,True
gold_copper_roc_5d,Tfix07_hi,0.7,gte,P1_long_cash,105,5,1.0476,11.9,-16.04,55.36,1566,True
gold_copper_roc_21d,Tz1_lo,-1.0,lte,P1_long_cash,42,2,1.0443,12.65,-14.26,36.85,1566,True
gold_copper_roc_21d,Tzn1_lo,-1.0,lte,P1_long_cash,42,2,1.0443,12.65,-14.26,36.85,1566,True
gold_copper_roc_63d,Tfix07_hi,0.7,gte,P1_long_cash,231,11,1.0442,13.28,-15.0,22.05,1566,True
gold_copper_mom_21d,Tp75_hi,16.087,gte,P1_long_cash,63,3,1.044,11.59,-10.79,21.89,1566,True
gold_copper_roc_63d,Tp90_lo,17.0212,lte,P1_long_cash,168,8,1.0377,16.69,-21.64,4.51,1566,True
gold_copper_mom_63d,Tp25_hi,-25.5664,gte,P1_long_cash,231,11,1.0358,17.78,-19.08,13.2,1566,True
gold_copper_zscore_126d,Tp75_hi,1.18,gte,P1_long_cash,252,12,1.0343,10.1,-12.92,15.93,1566,True
gold_copper_roc_126d,Tp75_hi,11.28,gte,P1_long_cash,252,12,1.0313,8.6,-9.2,7.72,1566,True
gold_copper_acceleration,Tfix07_hi,0.7,gte,P1_long_cash,126,6,1.0312,12.75,-12.63,32.18,1566,True
gold_copper_mom_21d,Trp25_lo,-15.533,lte,P1_long_cash,42,2,1.031,9.18,-9.11,24.94,1566,True
gold_copper_mom_21d,Tp25_lo,-15.533,lte,P1_long_cash,42,2,1.031,9.18,-9.11,24.94,1566,True
gold_copper_zscore_504d,Tp75_hi,1.0903,gte,P1_long_cash,231,11,1.0261,12.67,-12.92,9.82,1566,True
gold_copper_pctrank_1260d,Tp75_hi,0.8221,gte,P1_long_cash,210,10,1.0255,9.21,-12.92,5.47,1566,True
gold_copper_mom_63d,Tp75_lo,28.7156,lte,P2_long_short,105,5,1.0212,22.31,-22.86,17.38,1566,True
gold_copper_roc_5d,Tp50_hi,0.0074,gte,P1_long_cash,105,5,1.0163,14.75,-16.99,55.36,1566,True
gold_copper_mom_63d,Tp75_hi,28.7156,gte,P1_long_cash,231,11,1.0159,10.41,-12.92,8.69,1566,True
gold_copper_mom_21d,Tp75_hi,16.087,gte,P1_long_cash,231,11,1.0127,11.31,-10.49,21.56,1566,True
gold_copper_zscore_126d,Tp90_hi,2.0703,gte,P1_long_cash,231,11,1.0088,6.6,-6.43,9.66,1566,True
gold_copper_zscore_252d,Tp90_hi,2.0171,gte,P1_long_cash,252,12,1.0068,7.67,-12.92,8.21,1566,True
gold_copper_mom_63d,Tp25_lo,-25.5664,lte,P1_long_cash,0,0,1.005,8.67,-9.08,12.71,1566,True
gold_copper_mom_63d,Trp25_lo,-25.5664,lte,P1_long_cash,0,0,1.005,8.67,-9.08,12.71,1566,True
gold_copper_acceleration,Trp25_lo,-6.2874,lte,P1_long_cash,210,10,1.0047,8.46,-8.0,24.46,1566,True
gold_copper_acceleration,Tp25_lo,-6.2874,lte,P1_long_cash,210,10,1.0047,8.46,-8.0,24.46,1566,True
gold_copper_mom_21d,Tfix03_lo,0.3,lte,P1_long_cash,42,2,1.0025,12.87,-14.28,30.74,1566,True
gold_copper_mom_21d,Tp75_lo,16.087,lte,P1_long_cash,0,0,1.0016,16.03,-20.81,23.49,1566,True
gold_copper_acceleration,Tfix03_lo,0.3,lte,P1_long_cash,42,2,1.0003,13.66,-14.18,32.34,1566,True
gold_copper_mom_21d,Tzn1_lo,-1.0,lte,P1_long_cash,42,2,0.9998,12.75,-14.28,32.34,1566,True
gold_copper_mom_21d,Tz1_lo,-1.0,lte,P1_long_cash,42,2,0.9998,12.75,-14.28,32.34,1566,True
gold_copper_mom_21d,Tp50_lo,0.098,lte,P1_long_cash,42,2,0.9992,12.82,-14.28,30.74,1566,True
gold_copper_mom_252d,Tp75_hi,65.8527,gte,P1_long_cash,252,12,0.9992,11.06,-12.92,14.32,1566,True
gold_copper_roc_21d,Tp50_lo,0.0209,lte,P1_long_cash,42,2,0.9992,12.82,-14.28,30.74,1566,True
gold_copper_zscore_252d,Tp90_lo,2.0171,lte,P2_long_short,147,7,0.9972,21.64,-22.47,17.7,1566,True
gold_copper_mom_21d,Tp50_hi,0.098,gte,P1_long_cash,231,11,0.9967,15.78,-20.82,30.09,1566,True
gold_copper_roc_21d,Tp50_hi,0.0209,gte,P1_long_cash,231,11,0.9967,15.78,-20.82,30.09,1566,True
gold_copper_mom_21d,Tfix07_hi,0.7,gte,P1_long_cash,231,11,0.9931,15.64,-20.21,28.8,1566,True
gold_copper_zscore_504d,Tp90_hi,2.084,gte,P1_long_cash,210,10,0.9928,11.96,-12.92,7.4,1566,True
gold_copper_roc_21d,Tfix07_hi,0.7,gte,P1_long_cash,231,11,0.99,14.83,-20.01,30.74,1566,True
gold_copper_pctrank_504d,Tfix07_hi,0.7,gte,P2_long_short,231,11,0.9892,21.45,-24.4,12.87,1566,True
gold_copper_zscore_504d,Tp90_lo,2.084,lte,P1_long_cash,0,0,0.9865,16.25,-21.64,10.3,1566,True
gold_copper_zscore_126d,Tp75_hi,1.18,gte,P1_long_cash,231,11,0.9861,10.03,-12.92,15.77,1566,True
gold_copper_mom_21d,Trp25_lo,-15.533,lte,P1_long_cash,210,10,0.9859,7.81,-7.48,24.78,1566,True
gold_copper_acceleration,Tp90_lo,12.3637,lte,P2_long_short,210,10,0.9859,21.36,-22.26,22.53,1566,True
gold_copper_mom_21d,Tp25_lo,-15.533,lte,P1_long_cash,210,10,0.9859,7.81,-7.48,24.78,1566,True
gold_copper_zscore_126d,Tfix03_lo,0.3,lte,P1_long_cash,0,0,0.9838,11.53,-12.92,17.06,1566,True
gold_copper_roc_21d,Tp75_lo,4.3669,lte,P1_long_cash,0,0,0.9751,15.97,-19.59,17.38,1566,True
gold_copper_zscore_126d,Tp50_hi,-0.0334,gte,P2_long_short,231,11,0.9744,21.03,-20.47,32.83,1566,True
gold_copper_roc_63d,Tfix03_lo,0.3,lte,P1_long_cash,21,1,0.9729,12.03,-16.4,21.4,1566,True
gold_copper_roc_126d,Tfix03_lo,0.3,lte,P1_long_cash,0,0,0.9723,9.24,-8.25,11.26,1566,True
gold_copper_mom_252d,Tp90_hi,132.6641,gte,P1_long_cash,210,10,0.9723,5.66,-6.3,4.51,1566,True
gold_copper_roc_21d,Tp25_lo,-4.0484,lte,P1_long_cash,0,0,0.9721,8.46,-12.92,19.47,1566,True
gold_copper_roc_21d,Trp25_lo,-4.0484,lte,P1_long_cash,0,0,0.9721,8.46,-12.92,19.47,1566,True
gold_copper_roc_63d,Tz1_hi,1.0,gte,P1_long_cash,231,11,0.9716,12.08,-14.78,20.44,1566,True
gold_copper_acceleration,Tz1_hi,1.0,gte,P1_long_cash,126,6,0.9688,11.49,-12.36,31.86,1566,True
gold_copper_acceleration,Tp75_lo,6.1247,lte,P1_long_cash,147,7,0.9682,16.67,-24.03,18.83,1566,True
gold_copper_zscore_126d,Tp25_hi,-1.0407,gte,P1_long_cash,231,11,0.9676,17.47,-18.46,9.98,1566,True
gold_copper_zscore_126d,Tp50_lo,-0.0334,lte,P1_long_cash,105,5,0.9661,11.51,-11.67,17.06,1566,True
gold_copper_pctrank_504d,Tp90_lo,0.9722,lte,P1_long_cash,147,7,0.9639,15.47,-21.64,12.71,1566,True
gold_copper_mom_63d,Tp25_hi,-25.5664,gte,P2_long_short,231,11,0.9579,20.62,-22.92,26.39,1566,True
gold_copper_mom_21d,Tp90_lo,32.7891,lte,P1_long_cash,147,7,0.9573,16.38,-18.15,11.75,1566,True
gold_copper_pctrank_504d,Tp25_hi,0.1605,gte,P2_long_short,84,4,0.9562,20.54,-42.33,16.74,1566,True
gold_copper_roc_5d,Tp50_lo,0.0074,lte,P1_long_cash,189,9,0.9538,12.45,-23.35,56.0,1566,True
gold_copper_zscore_126d,Tp25_hi,-1.0407,gte,P2_long_short,231,11,0.9523,20.47,-18.52,19.95,1566,True
gold_copper_mom_63d,Tfix03_lo,0.3,lte,P1_long_cash,21,1,0.9508,11.58,-16.76,20.44,1566,True
gold_copper_roc_63d,Tp50_lo,0.2018,lte,P1_long_cash,21,1,0.9507,11.66,-16.76,20.44,1566,True
gold_copper_pctrank_504d,Tp75_lo,0.841,lte,P1_long_cash,84,4,0.9498,13.95,-21.64,9.98,1566,True
gold_copper_pctrank_1260d,Tp50_hi,0.5612,gte,P2_long_short,231,11,0.9495,20.37,-21.85,13.52,1566,True
gold_copper_zscore_126d,Tz1_hi,1.0,gte,P1_long_cash,63,3,0.9486,10.58,-14.67,15.61,1566,True
gold_copper_mom_252d,Tp75_hi,65.8527,gte,P1_long_cash,231,11,0.946,10.64,-12.92,14.32,1566,True
gold_copper_mom_252d,Tp50_hi,7.1738,gte,P1_long_cash,231,11,0.9452,16.48,-26.1,7.4,1566,True
gold_copper_mom_21d,Tp90_hi,32.7891,gte,P1_long_cash,84,4,0.9448,6.77,-11.51,10.3,1566,True
gold_copper_roc_126d,Tp75_hi,11.28,gte,P1_long_cash,189,9,0.9434,9.84,-12.92,7.89,1566,True
gold_copper_roc_63d,Tp50_hi,0.2018,gte,P1_long_cash,231,11,0.9419,12.28,-18.32,19.95,1566,True
gold_copper_mom_21d,Tp90_hi,32.7891,gte,P1_long_cash,252,12,0.9417,6.95,-11.51,13.2,1566,True
gold_copper_mom_63d,Tp50_lo,0.758,lte,P1_long_cash,21,1,0.9415,11.52,-16.76,19.47,1566,True
gold_copper_roc_63d,Tz1_lo,-1.0,lte,P1_long_cash,105,5,0.9401,11.6,-12.69,18.99,1566,True
gold_copper_roc_63d,Tzn1_lo,-1.0,lte,P1_long_cash,105,5,0.9401,11.6,-12.69,18.99,1566,True
gold_copper_zscore_126d,Tp75_hi,1.18,gte,P1_long_cash,63,3,0.9399,9.78,-13.22,15.61,1566,True
gold_copper_roc_63d,Tp90_hi,17.0212,gte,P1_long_cash,252,12,0.9396,4.97,-6.25,3.86,1566,True
gold_copper_zscore_504d,Tp25_hi,-1.0311,gte,P2_long_short,210,10,0.9298,19.84,-42.33,7.08,1566,True
gold_copper_roc_21d,Tz1_hi,1.0,gte,P1_long_cash,231,11,0.9272,13.43,-18.09,30.74,1566,True
gold_copper_roc_63d,Tp75_lo,7.5433,lte,P1_long_cash,0,0,0.9249,13.29,-24.67,9.01,1566,True
gold_copper_pctrank_1260d,Tp90_hi,0.9349,gte,P1_long_cash,210,10,0.9248,4.27,-6.3,3.22,1566,True
gold_copper_zscore_126d,Tz1_hi,1.0,gte,P1_long_cash,252,12,0.9239,9.37,-12.99,15.61,1566,True
gold_copper_pctrank_1260d,Tfix07_hi,0.7,gte,P2_long_short,210,10,0.9232,19.7,-33.69,10.62,1566,True
gold_copper_pctrank_1260d,Tp90_hi,0.9349,gte,P1_long_cash,189,9,0.9226,5.2,-6.3,3.38,1566,True
gold_copper_roc_21d,Tp75_hi,4.3669,gte,P1_long_cash,231,11,0.9219,9.15,-9.86,17.06,1566,True
gold_copper_zscore_252d,Tp75_lo,1.0726,lte,P1_long_cash,0,0,0.9196,11.79,-17.89,16.09,1566,True
gold_copper_zscore_126d,Tp50_hi,-0.0334,gte,P1_long_cash,252,12,0.9195,13.51,-21.8,16.09,1566,True
gold_copper_pctrank_504d,Tp90_hi,0.9722,gte,P1_long_cash,252,12,0.9193,7.98,-12.92,10.94,1566,True
gold_copper_pctrank_1260d,Tp25_hi,0.3169,gte,P2_long_short,231,11,0.9189,19.57,-24.46,7.08,1566,True
gold_copper_acceleration,Tp90_hi,12.3637,gte,P1_long_cash,84,4,0.9183,4.8,-7.29,10.62,1566,True
gold_copper_roc_63d,Tp90_lo,17.0212,lte,P1_long_cash,147,7,0.9181,15.12,-21.64,4.51,1566,True
gold_copper_mom_21d,Tp90_lo,32.7891,lte,P1_long_cash,21,1,0.9157,15.32,-27.91,11.26,1566,True
gold_copper_roc_63d,Tp75_hi,7.5433,gte,P1_long_cash,252,12,0.9149,8.52,-12.92,7.89,1566,True
gold_copper_mom_63d,Tz1_hi,1.0,gte,P1_long_cash,231,11,0.913,11.83,-20.33,19.63,1566,True
gold_copper_roc_63d,Tp90_lo,17.0212,lte,P1_long_cash,0,0,0.9124,15.23,-22.84,4.83,1566,True
gold_copper_pctrank_1260d,Tp75_hi,0.8221,gte,P1_long_cash,231,11,0.9113,7.35,-11.39,4.67,1566,True
gold_copper_roc_126d,Tfix07_hi,0.7,gte,P2_long_short,147,7,0.9113,19.35,-42.33,23.17,1566,True
gold_copper_acceleration,Tp90_hi,12.3637,gte,P1_long_cash,252,12,0.91,3.74,-4.53,11.26,1566,True
gold_copper_mom_63d,Tfix07_hi,0.7,gte,P1_long_cash,231,11,0.9094,11.82,-18.32,18.99,1566,True
gold_copper_mom_63d,Tp50_hi,0.758,gte,P1_long_cash,231,11,0.9094,11.82,-18.32,18.99,1566,True
gold_copper_zscore_126d,Tp25_lo,-1.0407,lte,P1_long_cash,105,5,0.9089,6.47,-8.01,9.98,1566,True
gold_copper_zscore_126d,Trp25_lo,-1.0407,lte,P1_long_cash,105,5,0.9089,6.47,-8.01,9.98,1566,True
gold_copper_acceleration,Tp90_lo,12.3637,lte,P1_long_cash,210,10,0.905,17.52,-19.72,11.26,1566,True
gold_copper_pctrank_504d,Tp90_hi,0.9722,gte,P1_long_cash,63,3,0.9039,7.29,-9.16,12.71,1566,True
gold_copper_roc_5d,Tp50_lo,0.0074,lte,P1_long_cash,168,8,0.9037,12.69,-24.97,56.0,1566,True
gold_copper_zscore_504d,Tfix07_hi,0.7,gte,P2_long_short,231,11,0.8996,19.06,-27.01,18.67,1566,True
gold_copper_roc_5d,Tp75_lo,2.0649,lte,P1_long_cash,189,9,0.8985,15.96,-33.1,43.77,1566,True
gold_copper_zscore_504d,Tp25_hi,-1.0311,gte,P2_long_short,189,9,0.8963,18.96,-42.33,7.08,1566,True
gold_copper_pctrank_504d,Tp25_hi,0.1605,gte,P2_long_short,252,12,0.8957,18.94,-42.33,16.74,1566,True
gold_copper_zscore_252d,Tp50_hi,0.0526,gte,P2_long_short,147,7,0.8948,18.92,-42.33,13.52,1566,True
gold_copper_zscore_252d,Tz1_hi,1.0,gte,P1_long_cash,231,11,0.8939,10.14,-12.92,15.29,1566,True
