signal,threshold,strategy,signal_column,lead_days,oos_sharpe,oos_max_drawdown,valid,lead_source
gold_copper_pctrank_504d,T1_p25,P1_long_cash,gold_copper_pctrank_504d,1,0.1011,-0.1456,True,pipeline
gold_copper_pctrank_504d,T1_p25,P1_long_cash,gold_copper_pctrank_504d,5,0.2631,-0.1096,True,pipeline
gold_copper_pctrank_504d,T1_p25,P1_long_cash,gold_copper_pctrank_504d,21,0.4721,-0.0809,True,pipeline
gold_copper_pctrank_504d,T2_p50,P1_long_cash,gold_copper_pctrank_504d,0,0.3112,-0.107,True,pipeline
gold_copper_pctrank_504d,T2_p50,P1_long_cash,gold_copper_pctrank_504d,1,0.0965,-0.1744,True,pipeline
gold_copper_pctrank_504d,T2_p50,P1_long_cash,gold_copper_pctrank_504d,21,0.1991,-0.1539,True,pipeline
gold_copper_pctrank_504d,T2_p50,P1_long_cash,gold_copper_pctrank_504d,63,0.1474,-0.1822,True,pipeline
gold_copper_pctrank_504d,T2_p50,P1_long_cash,gold_copper_pctrank_504d,252,0.0736,-0.2491,True,pipeline
gold_copper_pctrank_504d,T3_p75,P1_long_cash,gold_copper_pctrank_504d,0,0.6888,-0.2164,True,pipeline
gold_copper_pctrank_504d,T3_p75,P1_long_cash,gold_copper_pctrank_504d,1,0.5591,-0.2164,True,pipeline
gold_copper_pctrank_504d,T3_p75,P1_long_cash,gold_copper_pctrank_504d,5,0.458,-0.2164,True,pipeline
gold_copper_pctrank_504d,T3_p75,P1_long_cash,gold_copper_pctrank_504d,21,0.4464,-0.2164,True,pipeline
gold_copper_pctrank_504d,T3_p75,P1_long_cash,gold_copper_pctrank_504d,63,0.2364,-0.3825,True,pipeline
gold_copper_pctrank_504d,T3_p75,P1_long_cash,gold_copper_pctrank_504d,126,0.3662,-0.2164,True,pipeline
gold_copper_pctrank_504d,T3_p75,P1_long_cash,gold_copper_pctrank_504d,252,0.3382,-0.4233,True,pipeline
gold_copper_pctrank_504d,T3_p75,P2_long_short,gold_copper_pctrank_504d,0,0.1603,-0.3958,True,pipeline
gold_copper_pctrank_504d,T3_p75,P2_long_short,gold_copper_pctrank_504d,1,0.0167,-0.4615,True,pipeline
gold_copper_roc_63d,T1_p25,P1_long_cash,gold_copper_roc_63d,0,0.8143,-0.0776,True,pipeline
gold_copper_roc_63d,T1_p25,P1_long_cash,gold_copper_roc_63d,1,0.8951,-0.0838,True,pipeline
gold_copper_roc_63d,T1_p25,P1_long_cash,gold_copper_roc_63d,5,0.7896,-0.1423,True,pipeline
gold_copper_roc_63d,T1_p25,P1_long_cash,gold_copper_roc_63d,21,0.8933,-0.063,True,pipeline
gold_copper_roc_63d,T1_p25,P1_long_cash,gold_copper_roc_63d,63,0.1148,-0.3804,True,pipeline
gold_copper_roc_63d,T1_p25,P1_long_cash,gold_copper_roc_63d,126,0.356,-0.1416,True,pipeline
gold_copper_roc_63d,T1_p25,P1_long_cash,gold_copper_roc_63d,252,0.286,-0.2191,True,pipeline
gold_copper_roc_63d,T2_p50,P1_long_cash,gold_copper_roc_63d,0,1.2546,-0.0948,True,pipeline
gold_copper_roc_63d,T2_p50,P1_long_cash,gold_copper_roc_63d,1,0.5579,-0.2542,True,pipeline
gold_copper_roc_63d,T2_p50,P1_long_cash,gold_copper_roc_63d,5,0.6573,-0.1953,True,pipeline
gold_copper_roc_63d,T2_p50,P1_long_cash,gold_copper_roc_63d,21,0.9507,-0.1676,True,pipeline
