direction,te_value,permutation_p_value,n_permutations,bandwidth,bin_method
indicator_to_target,0.10127,0.172,500,,tercile_qcut_96obs_smallsample
target_to_indicator,0.08541,0.054,500,,tercile_qcut_96obs_smallsample
