pair_name,horizon_days,metric,value,p_value,n_obs
accel__spy_fwd_4q,252,distance,0.1972,,95
yoy_accel__spy_fwd_1q,63,pearson,-0.0408,0.6947,95
yoy_accel__spy_fwd_1q,63,spearman,-0.0219,0.8328,95
yoy_accel__spy_fwd_1q,63,kendall,-0.0172,0.8045,95
yoy_accel__spy_fwd_1q,63,distance,0.1608,,95
yoy_accel__spy_fwd_2q,126,pearson,-0.1177,0.2587,94
yoy_accel__spy_fwd_2q,126,spearman,-0.0361,0.7294,94
yoy_accel__spy_fwd_2q,126,kendall,-0.0176,0.8014,94
yoy_accel__spy_fwd_2q,126,distance,0.1706,,94
yoy_accel__spy_fwd_4q,252,pearson,-0.1791,0.0876,92
yoy_accel__spy_fwd_4q,252,spearman,-0.178,0.0895,92
yoy_accel__spy_fwd_4q,252,kendall,-0.1271,0.0728,92
yoy_accel__spy_fwd_4q,252,distance,0.243,,92
hmm_stress__spy_fwd_1q,63,pearson,-0.1535,0.1353,96
hmm_stress__spy_fwd_1q,63,spearman,-0.1168,0.2569,96
hmm_stress__spy_fwd_1q,63,kendall,-0.0763,0.2707,96
hmm_stress__spy_fwd_1q,63,distance,0.1872,,96
hmm_stress__spy_fwd_2q,126,pearson,-0.2164,0.0352,95
hmm_stress__spy_fwd_2q,126,spearman,-0.0979,0.3451,95
hmm_stress__spy_fwd_2q,126,kendall,-0.0647,0.3528,95
hmm_stress__spy_fwd_2q,126,distance,0.1961,,95
hmm_stress__spy_fwd_4q,252,pearson,-0.2635,0.0107,93
hmm_stress__spy_fwd_4q,252,spearman,-0.0744,0.4784,93
hmm_stress__spy_fwd_4q,252,kendall,-0.0566,0.4219,93
hmm_stress__spy_fwd_4q,252,distance,0.2532,,93
markov_regime__spy_fwd_1q,63,pearson,-0.1172,0.2556,96
markov_regime__spy_fwd_1q,63,spearman,0.0365,0.7242,96
markov_regime__spy_fwd_1q,63,kendall,0.0224,0.7468,96
markov_regime__spy_fwd_1q,63,distance,0.3532,,96
markov_regime__spy_fwd_2q,126,pearson,-0.0885,0.3939,95
markov_regime__spy_fwd_2q,126,spearman,0.0044,0.9665,95
markov_regime__spy_fwd_2q,126,kendall,0.0029,0.9667,95
markov_regime__spy_fwd_2q,126,distance,0.3538,,95
markov_regime__spy_fwd_4q,252,pearson,-0.0098,0.9261,93
markov_regime__spy_fwd_4q,252,spearman,0.0529,0.6143,93
markov_regime__spy_fwd_4q,252,kendall,0.0276,0.6953,93
markov_regime__spy_fwd_4q,252,distance,0.2569,,93
