horizon,coef,se,ci_lower,ci_upper,p_value,direction
1,-0.009868,0.008603,-0.026729,0.006993,0.2513,fwd
2,-0.016144,0.015874,-0.047256,0.014968,0.3091,fwd
4,-0.016675,0.027104,-0.069797,0.036447,0.5384,fwd
1,-0.722929,1.099274,-2.877467,1.431608,0.5108,rev
2,-0.345922,1.09416,-2.490437,1.798593,0.7519,rev
4,0.75036,1.239371,-1.678762,3.179482,0.5449,rev
