date,regime_stress_prob,regime_calm_prob
2002-03-31,0.8319861831324928,0.16801381686750583
2002-06-30,0.9998391344601556,0.00016086553984298406
2002-09-30,0.9999922209208076,7.779079191078919e-06
2002-12-31,0.8273475459652818,0.1726524540347168
2003-03-31,0.7828014974139744,0.21719850258602433
2003-06-30,0.651242741762185,0.34875725823781367
2003-09-30,0.2925199002436983,0.7074800997563004
2003-12-31,0.16543168623434024,0.8345683137656584
2004-03-31,0.09709780744727162,0.9029021925527271
2004-06-30,0.07592303113493724,0.9240769688650614
2004-09-30,0.08139351580225863,0.91860648419774
2004-12-31,0.05484257321636953,0.9451574267836292
2005-03-31,0.06066165680087619,0.9393383431991227
2005-06-30,0.03668471421193411,0.9633152857880648
2005-09-30,0.0239065367998339,0.9760934632001651
2005-12-31,0.02214836306880122,0.9778516369311978
2006-03-31,0.023326807295302295,0.9766731927046968
2006-06-30,0.03420608353111778,0.9657939164688814
2006-09-30,0.027293793009760717,0.9727062069902385
2006-12-31,0.03742411092692856,0.9625758890730707
2007-03-31,0.0746937592592398,0.9253062407407593
2007-06-30,0.13512675213384345,0.8648732478661556
2007-09-30,0.3289297042640831,0.671070295735916
2007-12-31,0.7666367610499373,0.23336323895006197
2008-03-31,0.9877379571099175,0.01226204289008181
2008-06-30,0.9849795963787222,0.015020403621277236
2008-09-30,0.998821153664653,0.0011788463353464508
2008-12-31,0.9999999807242758,1.9275723647507343e-08
2009-03-31,0.9997095739643866,0.00029042603561251363
2009-06-30,0.9992552902186939,0.0007447097813052996
2009-09-30,0.9952834940019024,0.004716505998097011
2009-12-31,0.9328118577834192,0.06718814221658015
2010-03-31,0.9289593911935994,0.07104060880640017
2010-06-30,0.9917927621827631,0.008207237817236547
2010-09-30,0.9620422698940897,0.03795773010591011
2010-12-31,0.9232974840231659,0.0767025159768337
2011-03-31,0.8764821365440438,0.12351786345595603
2011-06-30,0.8993203100550963,0.10067968994490357
2011-09-30,0.9970531939857273,0.0029468060142726054
2011-12-31,0.9424225216134868,0.057577478386513004
2012-03-31,0.8509828453967581,0.1490171546032418
2012-06-30,0.5744363900372575,0.4255636099627421
2012-09-30,0.35497253369303033,0.6450274663069693
2012-12-31,0.2504121623384242,0.7495878376615754
2013-03-31,0.21093138206958184,0.7890686179304177
2013-06-30,0.11567955699550872,0.884320443004491
2013-09-30,0.0853155596974879,0.9146844403025118
2013-12-31,0.0851284226002683,0.9148715773997314
2014-03-31,0.04551525977728931,0.9544847402227103
2014-06-30,0.03144882868807117,0.9685511713119285
2014-09-30,0.027447351166564885,0.9725526488334347
2014-12-31,0.029023412728232653,0.970976587271767
2015-03-31,0.04084064946421997,0.9591593505357799
2015-06-30,0.06322281520662074,0.9367771847933791
2015-09-30,0.11017099638106723,0.8898290036189327
2015-12-31,0.06458476920947433,0.9354152307905256
2016-03-31,0.0357088918850583,0.9642911081149416
2016-06-30,0.023188693148282542,0.9768113068517172
2016-09-30,0.018139385182139728,0.9818606148178602
2016-12-31,0.01727404815272355,0.9827259518472764
2017-03-31,0.01973206858632736,0.9802679314136725
2017-06-30,0.02396572285124958,0.9760342771487504
2017-09-30,0.03704470527513479,0.9629552947248651
2017-12-31,0.07137711765709215,0.9286228823429078
2018-03-31,0.1430749830762322,0.8569250169237678
2018-06-30,0.23222361632263136,0.7677763836773686
2018-09-30,0.47475374228452916,0.5252462577154708
2018-12-31,0.9934752163917717,0.00652478360822814
2019-03-31,0.9313665948159106,0.06863340518408956
2019-06-30,0.7981725221645664,0.2018274778354337
2019-09-30,0.7836404985014143,0.21635950149858563
2019-12-31,0.8557517514288698,0.14424824857113008
2020-03-31,0.9999982407597932,1.7592402065877792e-06
2020-06-30,0.9980890236327175,0.0019109763672822996
2020-09-30,0.8333801701711273,0.16661982982887252
2020-12-31,0.7338346984541905,0.2661653015458094
2021-03-31,0.5678939979983546,0.4321060020016454
2021-06-30,0.5250038789200739,0.4749961210799259
2021-09-30,0.551909378786834,0.44809062121316606
2021-12-31,0.6495067823063174,0.3504932176936826
2022-03-31,0.9341909633751149,0.06580903662488524
2022-06-30,0.9999847330161392,1.5266983860722722e-05
2022-09-30,0.8795144027010767,0.12048559729892327
2022-12-31,0.13998063157633753,0.8600193684236626
2023-03-31,0.037638848883673796,0.962361151116326
2023-06-30,0.028205937963936892,0.971794062036063
2023-09-30,0.06075755695183893,0.939242443048161
2023-12-31,0.029893123722314313,0.9701068762776855
2024-03-31,0.01609671468451204,0.9839032853154879
2024-06-30,0.013642483672046877,0.986357516327953
2024-09-30,0.021536893310285896,0.978463106689714
2024-12-31,0.05339803962661787,0.9466019603733821
2025-03-31,0.1312563078989343,0.8687436921010656
2025-06-30,0.10769153003377191,0.892308469966228
2025-09-30,0.10917436135439934,0.8908256386456006
2025-12-31,0.16947569581255661,0.8305243041874433
2026-03-31,0.337738390914348,0.6622616090856519
