tau,coef,se,p_value,ci_lower,ci_upper
0.05,-0.015909,0.031762,0.6176,-0.078973,0.047156
0.1,-0.038084,0.03451,0.2726,-0.106605,0.030437
0.25,-0.019585,0.010886,0.0752,-0.041199,0.002028
0.5,-0.012074,0.011217,0.2845,-0.034347,0.010198
0.75,0.005092,0.010158,0.6173,-0.015077,0.025261
0.9,-0.003522,0.010995,0.7494,-0.025353,0.018309
0.95,-0.013007,0.01252,0.3015,-0.037866,0.011852
