signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,win_rate,n_trades,annual_turnover,valid,oos_n
S1_spread_level,T1_p75,P1,0,0.4692,0.083326,-0.37431,0.511,8,1.23,True,1638
S1_spread_level,T1_p75,P2,0,0.661,0.072182,-0.225143,0.5208,1504,231.38,True,1638
S1_spread_level,T1_p75,P3,0,0.4692,0.083326,-0.37431,0.511,8,1.23,True,1638
S1_spread_level,T1_p85,P1,0,0.6113,0.115441,-0.330786,0.5263,4,0.62,True,1638
S1_spread_level,T1_p85,P2,0,0.661,0.072182,-0.225143,0.5208,1504,231.38,True,1638
S1_spread_level,T1_p85,P3,0,0.6113,0.115441,-0.330786,0.5263,4,0.62,True,1638
S1_spread_level,T1_p95,P1,0,0.7177,0.140901,-0.337173,0.5293,0,0.0,True,1638
S1_spread_level,T1_p95,P2,0,0.661,0.072182,-0.225143,0.5208,1504,231.38,True,1638
S1_spread_level,T1_p95,P3,0,0.7177,0.140901,-0.337173,0.5293,0,0.0,True,1638
S1_spread_level,T2_rp75,P1,0,0.3941,0.046123,-0.276732,0.3455,62,9.54,True,1638
S1_spread_level,T2_rp75,P2,0,0.661,0.072182,-0.225143,0.5208,1504,231.38,True,1638
S1_spread_level,T2_rp75,P3,0,0.3941,0.046123,-0.276732,0.3455,62,9.54,True,1638
S1_spread_level,T2_rp85,P1,0,0.4139,0.056262,-0.303573,0.42,64,9.85,True,1638
S1_spread_level,T2_rp85,P2,0,0.661,0.072182,-0.225143,0.5208,1504,231.38,True,1638
S1_spread_level,T2_rp85,P3,0,0.4139,0.056262,-0.303573,0.42,64,9.85,True,1638
S1_spread_level,T2_rp95,P1,0,0.6326,0.097123,-0.289681,0.486,36,5.54,True,1638
S1_spread_level,T2_rp95,P2,0,0.661,0.072182,-0.225143,0.5208,1504,231.38,True,1638
S1_spread_level,T2_rp95,P3,0,0.6326,0.097123,-0.289681,0.486,36,5.54,True,1638
S1_spread_level,T3_z1.5,P1,0,0.4775,0.070433,-0.294372,0.4646,52,8.0,True,1638
S1_spread_level,T3_z1.5,P2,0,0.661,0.072182,-0.225143,0.5208,1504,231.38,True,1638
S1_spread_level,T3_z1.5,P3,0,0.4775,0.070433,-0.294372,0.4646,52,8.0,True,1638
S1_spread_level,T3_z2.0,P1,0,0.7273,0.111711,-0.289681,0.4945,24,3.69,True,1638
S1_spread_level,T3_z2.0,P2,0,0.661,0.072182,-0.225143,0.5208,1504,231.38,True,1638
S1_spread_level,T3_z2.0,P3,0,0.7273,0.111711,-0.289681,0.4945,24,3.69,True,1638
