parameter,value,std_err,tstat,pvalue
Const,0.060847732277292024,0.024745467994319082,2.4589444940488128,0.013934615995292035
spy_ret[1],-0.09797518031420281,0.04886552175004282,-2.0049960955163026,0.044963464451306334
hy_ig_spread_chg,-7.168119678087716,0.5958131376316793,-12.030818431732728,2.447227203167631e-33
omega,0.05516604241822891,0.020304815214820388,2.716894580649199,0.006589759334202927
alpha[1],0.0,0.02412222081711004,0.0,1.0
gamma[1],0.23819196673172022,0.09342417862700647,2.5495751767076835,0.010785425505290514
beta[1],0.76992700718462,0.06288902901069901,12.242628313654453,1.8397683758107907e-34
