parameter,value
p[0->0],0.9912186567138512
p[1->0],0.12933729821057433
const[0],0.0004105158308637897
const[1],-9.703481372583561e-05
x1[0],0.0004105158308638005
x1[1],-9.703481372587883e-05
x2[0],-0.07445529334195782
x2[1],-0.1294221323881941
sigma2[0],3.45942777756352e-05
sigma2[1],0.00031124735969450054
