horizon,specification,variable,coef,se,t_stat,p_value,ci_lower,ci_upper,n_obs,r_squared
1,base,hy_ig_spread_chg,-0.012812131317523944,0.015343567818009798,-0.8350164361697849,0.4037084542177891,-0.04288497163517097,0.01726070900012308,498,0.029663204704703183
1,base,vix,0.0003656515329046495,0.0001837655454799033,1.9897719779284595,0.046616059610816434,5.477682164681664e-06,0.0007258253836446173,498,0.029663204704703183
1,base,yield_spread_10y3m,-0.0009109848141604312,0.0007280201883096891,-1.2513180661590548,0.21081845674329502,-0.00233787816326549,0.0005159085349446275,498,0.029663204704703183
1,state_dependent,hy_ig_spread_chg,0.009828811107360032,0.0067398738459119156,1.4583078752018064,0.14475570050623893,-0.003381098890970784,0.02303872110569085,498,0.07426425480646903
1,state_dependent,spread_chg_x_stress,-0.06204055211827141,0.02973673808496588,-2.086326749793633,0.036949035189283316,-0.12032348778250512,-0.0037576164540377086,498,0.07426425480646903
1,state_dependent,stress,-0.005522412014705307,0.005952492863266634,-0.9277477758578437,0.35353841964362354,-0.017189083644939613,0.0061442596155289984,498,0.07426425480646903
5,base,hy_ig_spread_chg,-0.012533520381048095,0.021202735386916558,-0.5911275197436119,0.5544349820423015,-0.05409011811313748,0.029023077351041288,494,0.08948720441543467
5,base,vix,0.0013541572184675049,0.00038389443072480453,3.5274208482545952,0.0004196292031554021,0.0006017379603813813,0.0021065764765536284,494,0.08948720441543467
5,base,yield_spread_10y3m,-0.004214948800984371,0.0025664297196566653,-1.6423394604190618,0.1005196736015788,-0.009245058620364663,0.0008151610183959202,494,0.08948720441543467
5,state_dependent,hy_ig_spread_chg,-0.028080010241997775,0.02046388355522759,-1.3721740629639487,0.17000925767787423,-0.06818848499406532,0.012028464510069777,494,0.09392576864420643
5,state_dependent,spread_chg_x_stress,0.04267136410768729,0.0457200527147658,0.9333183488195346,0.35065562410003026,-0.04693829258452639,0.13228102079990098,494,0.09392576864420643
