quantile,variable,coef,se,t_stat,p_value,ci_lower,ci_upper
0.05,Intercept,-0.05354875850683126,0.008557012237190397,-6.2578803234729765,8.710568319093792e-10,-0.07036294722804654,-0.036734569785615984
0.05,hy_ig_zscore_252d,0.0070509793542701885,0.005504676170489294,1.2809072025109605,0.20084998772977952,-0.0037654903917370437,0.01786744910027742
0.1,Intercept,-0.025984317901303438,0.004644325553316304,-5.594852816196144,3.730984000825552e-08,-0.03511023290196529,-0.016858402900641584
0.1,hy_ig_zscore_252d,0.0075138740109646635,0.0031611363558485253,2.376953463922235,0.01785063246737525,0.0013023667947282035,0.013725381227201124
0.25,Intercept,0.011051754090782948,0.002434415286484841,4.53979818157528,7.1414974463455644e-06,0.0062682248730887005,0.015835283308477194
0.25,hy_ig_zscore_252d,0.013758186859396854,0.0018383571439056696,7.483957567769987,3.5151795101795947e-13,0.010145888185768526,0.01737048553302518
0.5,Intercept,0.029179546259054414,0.001746681853181659,16.705701845990195,1.21777740116691e-49,0.025747385885638675,0.03261170663247016
0.5,hy_ig_zscore_252d,0.0111865667042714,0.001310271288671053,8.537595840642599,1.855318890601376e-16,0.008611935733433999,0.013761197675108802
0.75,Intercept,0.04467734182328141,0.0014062966576485925,31.769500112433214,1.0592011062553053e-119,0.0419140248214722,0.047440658825090624
0.75,hy_ig_zscore_252d,0.011541652802850496,0.001194408916730004,9.663066510294216,2.7330103527229373e-20,0.009194686784861647,0.013888618820839345
0.9,Intercept,0.055392320485520306,0.0015151335629115276,36.559364693285985,2.654934524263112e-140,0.05241514329347197,0.05836949767756864
0.9,hy_ig_zscore_252d,0.013189280660233007,0.0014206769219986886,9.283800177226487,5.803762715999009e-19,0.010397707010899954,0.01598085430956606
