quantile,coef,p_value,ci_lower,ci_upper
0.05,-0.011682,0.0,-0.013354,-0.010009
0.1,-0.009357,0.0,-0.010526,-0.008187
0.25,-0.005218,0.0,-0.006101,-0.004335
0.5,8e-06,0.9769,-0.000526,0.000542
0.75,0.004633,0.0,0.004156,0.005111
0.9,0.008303,0.0,0.00764,0.008966
0.95,0.011758,0.0,0.010893,0.012623
