lag,ccf,lower_ci,upper_ci,significant,arima_order,n_obs
-20,-0.001473,-0.0238,0.0238,False,"(2,0,2)",6782
-19,-0.002707,-0.0238,0.0238,False,"(2,0,2)",6782
-18,0.002362,-0.0238,0.0238,False,"(2,0,2)",6782
-17,-0.068613,-0.0238,0.0238,True,"(2,0,2)",6782
-16,-0.001674,-0.0238,0.0238,False,"(2,0,2)",6782
-15,0.033913,-0.0238,0.0238,True,"(2,0,2)",6782
-14,0.010585,-0.0238,0.0238,False,"(2,0,2)",6782
-13,0.021344,-0.0238,0.0238,False,"(2,0,2)",6782
-12,-0.035318,-0.0238,0.0238,True,"(2,0,2)",6782
-11,0.021195,-0.0238,0.0238,False,"(2,0,2)",6782
-10,-0.019337,-0.0238,0.0238,False,"(2,0,2)",6782
-9,-0.040696,-0.0238,0.0238,True,"(2,0,2)",6782
-8,0.017879,-0.0238,0.0238,False,"(2,0,2)",6782
-7,-0.026827,-0.0238,0.0238,True,"(2,0,2)",6782
-6,0.043879,-0.0238,0.0238,True,"(2,0,2)",6782
-5,-0.041253,-0.0238,0.0238,True,"(2,0,2)",6782
-4,0.01738,-0.0238,0.0238,False,"(2,0,2)",6782
-3,0.012712,-0.0238,0.0238,False,"(2,0,2)",6782
-2,-0.042798,-0.0238,0.0238,True,"(2,0,2)",6782
-1,-0.152398,-0.0238,0.0238,True,"(2,0,2)",6782
0,-0.478079,-0.0238,0.0238,True,"(2,0,2)",6782
1,0.016273,-0.0238,0.0238,False,"(2,0,2)",6782
2,-0.032299,-0.0238,0.0238,True,"(2,0,2)",6782
3,-0.018452,-0.0238,0.0238,False,"(2,0,2)",6782
4,-0.012561,-0.0238,0.0238,False,"(2,0,2)",6782
5,-0.002227,-0.0238,0.0238,False,"(2,0,2)",6782
6,0.025802,-0.0238,0.0238,True,"(2,0,2)",6782
7,-0.027996,-0.0238,0.0238,True,"(2,0,2)",6782
8,0.010488,-0.0238,0.0238,False,"(2,0,2)",6782
9,-0.023876,-0.0238,0.0238,True,"(2,0,2)",6782
10,-0.010098,-0.0238,0.0238,False,"(2,0,2)",6782
11,-0.004316,-0.0238,0.0238,False,"(2,0,2)",6782
12,0.00785,-0.0238,0.0238,False,"(2,0,2)",6782
13,0.026501,-0.0238,0.0238,True,"(2,0,2)",6782
14,-0.005884,-0.0238,0.0238,False,"(2,0,2)",6782
15,0.013414,-0.0238,0.0238,False,"(2,0,2)",6782
16,0.005391,-0.0238,0.0238,False,"(2,0,2)",6782
17,-0.0003,-0.0238,0.0238,False,"(2,0,2)",6782
18,0.018457,-0.0238,0.0238,False,"(2,0,2)",6782
19,0.001709,-0.0238,0.0238,False,"(2,0,2)",6782
20,0.010389,-0.0238,0.0238,False,"(2,0,2)",6782
