horizon,coef,se,ci_lower,ci_upper,p_value,direction
1,-0.000342,0.000374,-0.001075,0.000392,0.3609,fwd
3,-0.000902,0.000917,-0.002699,0.000895,0.3253,fwd
6,-0.002395,0.001479,-0.005293,0.000504,0.1054,fwd
12,-0.009255,0.001127,-0.011465,-0.007046,0.0,fwd
1,3.565795,17.097941,-29.945554,37.077143,0.8348,rev
3,12.941258,17.02454,-20.426227,46.308743,0.4472,rev
6,12.981193,15.509189,-17.416259,43.378645,0.4026,rev
12,26.695331,18.377994,-9.324875,62.715537,0.1463,rev
