signal,horizon,coef,se,t_stat,p_value,r_squared,n
yoy,spy_fwd_1m,-0.000342,0.0004,-0.854,0.3931,0.0042,112
yoy,spy_fwd_3m,-0.000902,0.000784,-1.15,0.25,0.0134,110
yoy,spy_fwd_6m,-0.002395,0.00104,-2.302,0.0213,0.0512,107
yoy,spy_fwd_12m,-0.009255,0.001328,-6.968,0.0,0.3343,101
mom,spy_fwd_1m,-0.00176,0.001066,-1.651,0.0988,0.0255,123
mom,spy_fwd_3m,0.001395,0.001847,0.755,0.45,0.0073,121
mom,spy_fwd_6m,0.001126,0.002071,0.544,0.5865,0.0024,118
mom,spy_fwd_12m,-0.00186,0.004377,-0.425,0.6708,0.0029,112
mom3m,spy_fwd_1m,0.000652,0.000693,0.94,0.3474,0.0087,121
mom3m,spy_fwd_3m,0.002203,0.001134,1.943,0.052,0.043,119
mom3m,spy_fwd_6m,0.00128,0.001489,0.86,0.39,0.0076,116
mom3m,spy_fwd_12m,-0.001792,0.002565,-0.698,0.4849,0.0067,110
mom6m,spy_fwd_1m,0.000256,0.000659,0.388,0.6981,0.0019,118
mom6m,spy_fwd_3m,0.00068,0.000981,0.693,0.4881,0.006,116
mom6m,spy_fwd_6m,0.000508,0.001439,0.353,0.7239,0.0018,113
mom6m,spy_fwd_12m,-0.003391,0.002639,-1.285,0.1987,0.0349,107
dev_trend,spy_fwd_1m,0.000175,0.000822,0.213,0.8312,0.0004,115
dev_trend,spy_fwd_3m,0.001463,0.001525,0.959,0.3375,0.0137,113
dev_trend,spy_fwd_6m,-0.000841,0.001791,-0.469,0.6388,0.0023,110
dev_trend,spy_fwd_12m,-0.008255,0.002975,-2.775,0.0055,0.1001,104
level_zscore_60m,spy_fwd_1m,-0.002922,0.005077,-0.575,0.565,0.0039,89
level_zscore_60m,spy_fwd_3m,-0.002394,0.008073,-0.297,0.7668,0.0012,87
level_zscore_60m,spy_fwd_6m,-0.026032,0.010067,-2.586,0.0097,0.0651,84
level_zscore_60m,spy_fwd_12m,-0.085748,0.015611,-5.493,0.0,0.272,78
yoy_zscore_60m,spy_fwd_1m,0.000154,0.004965,0.031,0.9753,0.0,77
yoy_zscore_60m,spy_fwd_3m,-0.000365,0.009698,-0.038,0.97,0.0,75
yoy_zscore_60m,spy_fwd_6m,-0.015107,0.010395,-1.453,0.1461,0.0237,72
yoy_zscore_60m,spy_fwd_12m,-0.083659,0.013947,-5.998,0.0,0.3083,66
accel,spy_fwd_1m,-0.001826,0.000758,-2.409,0.016,0.0578,122
accel,spy_fwd_3m,-0.000267,0.001218,-0.22,0.8262,0.0006,120
accel,spy_fwd_6m,-0.000322,0.001745,-0.185,0.8535,0.0004,117
accel,spy_fwd_12m,-0.000418,0.003204,-0.13,0.8962,0.0003,111
contraction,spy_fwd_1m,0.004831,0.007879,0.613,0.5398,0.003,124
contraction,spy_fwd_3m,0.011234,0.011754,0.956,0.3392,0.0075,122
contraction,spy_fwd_6m,0.030933,0.016201,1.909,0.0562,0.0308,119
contraction,spy_fwd_12m,0.103022,0.023713,4.345,0.0,0.1475,113
hmm_stress,spy_fwd_1m,-0.00325,0.008773,-0.37,0.711,0.0012,112
hmm_stress,spy_fwd_3m,-0.010023,0.013501,-0.742,0.4578,0.0051,110
hmm_stress,spy_fwd_6m,-0.025319,0.018146,-1.395,0.1629,0.0174,107
hmm_stress,spy_fwd_12m,-0.081296,0.025685,-3.165,0.0016,0.0746,101
