tau,coef,se,p_value,ci_lower,ci_upper
0.05,0.001523,0.001462,0.3,-0.001375,0.004421
0.1,0.000608,0.001246,0.6265,-0.001862,0.003077
0.25,-0.00011,0.000982,0.911,-0.002057,0.001837
0.5,-0.000531,0.00093,0.5694,-0.002374,0.001312
0.75,-0.001086,0.001093,0.3226,-0.003252,0.00108
0.9,-0.000911,0.001295,0.4834,-0.003478,0.001657
0.95,-0.001572,0.001815,0.3883,-0.005169,0.002025
