lag,ccf,lower_ci,upper_ci,significant,arima_order,n_obs
-18,0.1528,-0.195,0.195,False,AR(12),83
-17,-0.1645,-0.195,0.195,False,AR(12),84
-16,0.1796,-0.195,0.195,False,AR(12),85
-15,-0.1468,-0.195,0.195,False,AR(12),86
-14,-0.1629,-0.195,0.195,False,AR(12),87
-13,0.1662,-0.195,0.195,False,AR(12),88
-12,0.0012,-0.195,0.195,False,AR(12),89
-11,0.1024,-0.195,0.195,False,AR(12),90
-10,-0.1639,-0.195,0.195,False,AR(12),91
-9,0.0262,-0.195,0.195,False,AR(12),92
-8,0.1186,-0.195,0.195,False,AR(12),93
-7,-0.1516,-0.195,0.195,False,AR(12),94
-6,0.0736,-0.195,0.195,False,AR(12),95
-5,-0.0094,-0.195,0.195,False,AR(12),96
-4,0.0101,-0.195,0.195,False,AR(12),97
-3,-0.0799,-0.195,0.195,False,AR(12),98
-2,0.2014,-0.195,0.195,True,AR(12),99
-1,-0.1513,-0.195,0.195,False,AR(12),100
0,0.0765,-0.195,0.195,False,AR(12),101
1,-0.0765,-0.195,0.195,False,AR(12),100
2,-0.0022,-0.195,0.195,False,AR(12),99
3,0.0808,-0.195,0.195,False,AR(12),98
4,-0.1066,-0.195,0.195,False,AR(12),97
5,0.0819,-0.195,0.195,False,AR(12),96
6,-0.0124,-0.195,0.195,False,AR(12),95
7,-0.0639,-0.195,0.195,False,AR(12),94
8,0.0514,-0.195,0.195,False,AR(12),93
9,-0.0193,-0.195,0.195,False,AR(12),92
10,-0.0567,-0.195,0.195,False,AR(12),91
11,0.1277,-0.195,0.195,False,AR(12),90
12,-0.1518,-0.195,0.195,False,AR(12),89
13,-0.0218,-0.195,0.195,False,AR(12),88
14,0.1036,-0.195,0.195,False,AR(12),87
15,-0.0242,-0.195,0.195,False,AR(12),86
16,-0.0653,-0.195,0.195,False,AR(12),85
17,0.0365,-0.195,0.195,False,AR(12),84
18,-0.0461,-0.195,0.195,False,AR(12),83
