test,statistic,p_value,interpretation
Jarque-Bera,14.928,0.0006,Non-normal — robust/HAC inference used
Breusch-Pagan,1.717,0.1901,Homoskedastic
Breusch-Godfrey,60.603,0.0,Serial correlation (overlapping fwd returns) — HAC SEs used
RESET,1.63,0.2008,Linear form adequate
