parameter,value,se
p[0->0],0.9999746859296291,
p[1->0],0.0021569052891803374,
const[0],368.5574827591816,
const[1],-72.61959201603187,
x1[0],368.5574827591816,
x1[1],-72.61959201603187,
x2[0],-716.3184711195834,
x2[1],-308.01730235656913,
sigma2[0],160632.07283782415,
sigma2[1],18710.148554193915,
