direction,lag,f_statistic,p_value,significant
indicator_to_target,1,0.0336,0.8549,False
target_to_indicator,1,0.9292,0.3373,False
indicator_to_target,2,0.0391,0.9617,False
target_to_indicator,2,2.77,0.0673,False
indicator_to_target,3,0.0908,0.965,False
target_to_indicator,3,2.5401,0.0607,False
indicator_to_target,4,0.1395,0.9672,False
target_to_indicator,4,1.9548,0.1075,False
indicator_to_target,5,0.2028,0.9606,False
target_to_indicator,5,1.6146,0.1637,False
indicator_to_target,6,0.0496,0.9995,False
target_to_indicator,6,1.3903,0.227,False
indicator_to_target,7,0.077,0.9992,False
target_to_indicator,7,1.2253,0.2976,False
indicator_to_target,8,0.1267,0.998,False
target_to_indicator,8,1.4314,0.1953,False
indicator_to_target,9,0.0726,0.9999,False
target_to_indicator,9,1.2208,0.2938,False
indicator_to_target,10,0.2122,0.9946,False
target_to_indicator,10,1.1624,0.3287,False
indicator_to_target,11,0.4533,0.9257,False
target_to_indicator,11,1.3495,0.2148,False
indicator_to_target,12,0.6373,0.8037,False
target_to_indicator,12,1.3598,0.2052,False
