lag,ccf,upper_ci,lower_ci,significant
-6,-0.13486372210359351,0.09976137331762037,-0.09976137331762037,True
-5,-0.1337558560254915,0.09963239928396839,-0.09963239928396839,True
-4,-0.0764759127312487,0.09950392418309467,-0.09950392418309467,False
-3,-0.012092090563859043,0.09937594480642518,-0.09937594480642518,False
-2,0.042858361660568965,0.09937594480642518,-0.09937594480642518,False
-1,0.11775143736006437,0.09937594480642518,-0.09937594480642518,True
0,0.0821884199779915,0.09937594480642518,-0.09937594480642518,False
1,0.013663600203439173,0.09950392418309467,-0.09950392418309467,False
2,-0.028082815686847687,0.09963239928396839,-0.09963239928396839,False
3,-0.018985944131677906,0.09976137331762037,-0.09976137331762037,False
4,-0.034084820240807105,0.09989084952177461,-0.09989084952177461,False
5,0.024539128803063127,0.10002083116364645,-0.10002083116364645,False
6,0.06107186384529852,0.10015132154028883,-0.10015132154028883,False
