horizon_days,coef,se,t_stat,p_value,ci_lower,ci_upper,r_squared,n
5,-0.003247,0.003032,-1.071,0.2842,-0.009189,0.002696,0.0074,8583
21,-0.011426,0.008001,-1.428,0.1532,-0.027108,0.004255,0.0228,8567
63,-0.037115,0.011442,-3.244,0.0012,-0.059541,-0.014688,0.0639,8525
