pair_name,metric,value,p_value
sloos_level_to_spy_fwd_1q,pearson,-0.11939232271540778,0.17606227621003143
sloos_level_to_spy_fwd_2q,pearson,-0.12812277031222932,0.14789643065393793
sloos_level_to_spy_fwd_4q,pearson,-0.08745622824364613,0.3282169223703795
sloos_diff_1q_to_spy_fwd_1q,pearson,-0.08152373579869994,0.35838377830249696
sloos_diff_1q_to_spy_fwd_2q,pearson,-0.13766327139362305,0.12123971579737958
sloos_diff_1q_to_spy_fwd_4q,pearson,-0.07679888673599981,0.3926966900931722
sloos_chg_4q_to_spy_fwd_1q,pearson,-0.08687340690789176,0.33341248186358063
sloos_chg_4q_to_spy_fwd_2q,pearson,-0.04157915354206013,0.6452305421414553
sloos_chg_4q_to_spy_fwd_4q,pearson,0.06837682692509979,0.45236812497580864
sloos_zscore_20q_to_spy_fwd_1q,pearson,-0.11973851689580019,0.19460445375298874
sloos_zscore_20q_to_spy_fwd_2q,pearson,-0.14395996277242243,0.11988143440645747
sloos_zscore_20q_to_spy_fwd_4q,pearson,-0.09811683189283281,0.2947136659367398
