entry_date,exit_date,direction,holding_days,trade_return_pct
2000-06-28,2000-09-26,Long,90,-1.92
2000-09-26,2002-03-11,Cash,531,0.0
2002-03-11,2002-04-26,Long,46,-8.14
2002-04-26,2002-05-13,Cash,17,0.0
2002-05-13,2002-05-30,Long,17,-0.81
2002-05-30,2003-05-09,Cash,344,0.0
2003-05-09,2003-06-02,Long,24,3.86
2003-06-02,2003-06-27,Cash,25,0.0
2003-06-27,2003-07-30,Long,33,1.54
2003-07-30,2003-08-08,Cash,9,0.0
2003-08-08,2003-09-02,Long,25,4.6
2003-09-02,2003-09-03,Cash,1,0.0
2003-09-03,2003-09-25,Long,22,-2.61
2003-09-25,2003-10-06,Cash,11,0.0
2003-10-06,2007-07-26,Long,1389,52.51
2007-07-26,2007-09-20,Cash,56,0.0
2007-09-20,2007-10-18,Long,28,1.4
2007-10-18,2008-04-24,Cash,189,0.0
2008-04-24,2008-06-04,Long,41,-0.22
2008-06-04,2008-08-14,Cash,71,0.0
2008-08-14,2008-08-29,Long,15,-0.58
2008-08-29,2009-12-22,Cash,480,0.0
2009-12-22,2010-01-21,Long,30,-0.03
2010-01-21,2010-02-24,Cash,34,0.0
2010-02-24,2010-04-27,Long,62,7.35
2010-04-27,2010-10-07,Cash,163,0.0
2010-10-07,2010-11-15,Long,39,3.57
2010-11-15,2010-12-08,Cash,23,0.0
2010-12-08,2011-03-10,Long,92,5.96
2011-03-10,2011-03-22,Cash,12,0.0
2011-03-22,2011-07-27,Long,127,1.51
2011-07-27,2012-01-20,Cash,177,0.0
2012-01-20,2012-05-14,Long,115,2.08
2012-05-14,2012-06-15,Cash,32,0.0
2012-06-15,2014-10-10,Long,847,48.77
2014-10-10,2014-10-21,Cash,11,0.0
2014-10-21,2014-12-11,Long,51,5.21
2014-12-11,2014-12-19,Cash,8,0.0
2014-12-19,2015-08-21,Long,245,-3.31
2015-08-21,2015-10-08,Cash,48,0.0
2015-10-08,2015-12-11,Long,64,0.33
2015-12-11,2015-12-21,Cash,10,0.0
2015-12-21,2016-01-04,Long,14,-0.32
2016-01-04,2016-03-02,Cash,58,0.0
2016-03-02,2016-06-15,Long,105,4.94
2016-06-15,2016-06-30,Cash,15,0.0
2016-06-30,2018-02-05,Long,585,29.85
2018-02-05,2018-02-16,Cash,11,0.0
2018-02-16,2018-03-22,Long,34,-3.07
2018-03-22,2018-04-10,Cash,19,0.0
2018-04-10,2018-10-10,Long,183,5.91
2018-10-10,2018-10-16,Cash,6,0.0
2018-10-16,2018-10-22,Long,6,-1.92
2018-10-22,2018-11-01,Cash,10,0.0
2018-11-01,2018-12-06,Long,35,-1.34
2018-12-06,2019-01-10,Cash,35,0.0
2019-01-10,2019-08-05,Long,207,10.65
2019-08-05,2019-08-15,Cash,10,0.0
2019-08-15,2020-01-27,Long,165,14.73
2020-01-27,2020-01-29,Cash,2,0.0
2020-01-29,2020-02-24,Long,26,-1.29
2020-02-24,2021-03-12,Cash,382,0.0
2021-03-12,2021-05-11,Long,60,5.46
2021-05-11,2021-05-14,Cash,3,0.0
2021-05-14,2021-07-19,Long,66,2.35
2021-07-19,2021-07-21,Cash,2,0.0
2021-07-21,2021-09-20,Long,61,0.2
2021-09-20,2021-10-07,Cash,17,0.0
2021-10-07,2021-11-26,Long,50,4.63
2021-11-26,2021-12-22,Cash,26,0.0
2021-12-22,2022-01-18,Long,27,-2.39
2022-01-18,2023-01-10,Cash,357,0.0
2023-01-10,2023-02-02,Long,23,6.71
2023-02-02,2023-04-03,Cash,60,0.0
2023-04-03,2023-11-02,Long,213,5.58
2023-11-02,2023-11-03,Cash,1,0.0
2023-11-03,2024-08-02,Long,273,23.87
2024-08-02,2024-08-09,Cash,7,0.0
2024-08-09,2024-12-18,Long,131,10.34
2024-12-18,2024-12-20,Cash,2,0.0
2024-12-20,2025-03-03,Long,73,-1.25
2025-03-03,2025-05-13,Cash,71,0.0
2025-05-13,2025-10-10,Long,150,11.92
2025-10-10,2025-10-17,Cash,7,0.0
2025-10-17,2025-11-17,Long,31,0.19
2025-11-17,2025-11-24,Cash,7,0.0
2025-11-24,2025-12-31,Long,37,3.04
