date,rolling_corr
1996-03-31,0.24545262845656782
1996-04-30,0.24217296896361476
1996-05-31,0.2508713946811796
1996-06-30,0.25196268940986943
1996-07-31,0.22643157796674906
1996-08-31,0.19677100754673202
1996-09-30,0.19747488421725096
1996-10-31,0.17669680751712258
1996-11-30,0.2756948879557657
1996-12-31,0.2068687999011153
1997-01-31,0.24082561488427898
1997-02-28,0.24190894425504839
1997-03-31,0.2494870243937097
1997-04-30,0.22618431605138084
1997-05-31,0.1855287329311215
1997-06-30,0.17662654478103065
1997-07-31,0.15233792806402902
1997-08-31,0.139270314703539
1997-09-30,0.1406780066536984
1997-10-31,0.14802988145984916
1997-11-30,0.14166056044959457
1997-12-31,0.14068939151227422
1998-01-31,0.14036070681292595
1998-02-28,0.15771002703304257
1998-03-31,0.16812333457564854
1998-04-30,0.16216789036171392
1998-05-31,0.1655027614734457
1998-06-30,0.1657693411692134
1998-07-31,0.1247056907107631
1998-08-31,0.025778571804136036
1998-09-30,0.04130038785543304
1998-10-31,0.0577463171045169
1998-11-30,0.052609043040644364
1998-12-31,0.040555767124911976
1999-01-31,0.04047806889967022
1999-02-28,0.0396530968741975
1999-03-31,0.05234600570372312
1999-04-30,0.05503024288395397
1999-05-31,0.06243304697671889
1999-06-30,0.04823820138423581
1999-07-31,0.04176915227842806
1999-08-31,0.036293884779672075
1999-09-30,0.02504419660271543
1999-10-31,0.017053274095875714
1999-11-30,-0.03280617686797921
1999-12-31,-0.057695555833625706
2000-01-31,-0.04816460098360459
2000-02-29,-0.048251683356851184
2000-03-31,-0.0317994545351588
2000-04-30,-0.0207715915508508
2000-05-31,-0.03499418697893874
2000-06-30,-0.037029692493968744
2000-07-31,-0.0608666849944623
2000-08-31,-0.031084626202177782
2000-09-30,-0.03240483743279666
2000-10-31,-0.03775523726905229
2000-11-30,-0.008307085392048575
2000-12-31,-0.012676330713085385
2001-01-31,0.005897184741837713
2001-02-28,-0.08548393944023952
2001-03-31,-0.1433041151815271
2001-04-30,-0.10084050834924363
2001-05-31,-0.10961258783929388
2001-06-30,-0.12676417734233855
2001-07-31,-0.1420508454245747
2001-08-31,-0.20858937883217896
2001-09-30,-0.2661295825308135
2001-10-31,-0.23162209380596532
2001-11-30,-0.18896766319109193
2001-12-31,-0.17208388212612724
2002-01-31,-0.186061711369596
2002-02-28,-0.19198452432546712
2002-03-31,-0.21115277056406573
2002-04-30,-0.20969159584165142
2002-05-31,-0.19016946254463085
2002-06-30,-0.18336977368143262
2002-07-31,-0.14249427795462918
2002-08-31,-0.1554694482163893
2002-09-30,-0.12153872449081138
2002-10-31,-0.14388974034963029
2002-11-30,-0.11963339684538964
2002-12-31,-0.1314624790168026
2003-01-31,-0.13042271657040042
2003-02-28,-0.12519814002420934
2003-03-31,-0.12227863266296435
2003-04-30,-0.09953159232753589
2003-05-31,-0.0979897989571016
2003-06-30,-0.07769652648642962
2003-07-31,-0.07286514893120757
2003-08-31,-0.07677460570193896
2003-09-30,-0.07277185867188385
2003-10-31,-0.08455169613107777
2003-11-30,-0.07565475445509778
2003-12-31,-0.08264520042254563
2004-01-31,-0.07906482185355543
2004-02-29,-0.08636100373757274
2004-03-31,-0.07296913994643493
2004-04-30,-0.06489281708980228
2004-05-31,-0.07586874102241302
2004-06-30,-0.08554304511765445
2004-07-31,-0.08069317852886736
2004-08-31,-0.08154123477416376
2004-09-30,-0.08990889867523784
2004-10-31,-0.06910516873668902
2004-11-30,-0.06893632535545156
2004-12-31,-0.05084450446702361
2005-01-31,-0.054421204202628186
2005-02-28,-0.05786703441546189
2005-03-31,-0.04315357455882334
2005-04-30,-0.0526396688625454
2005-05-31,-0.07315204191197616
2005-06-30,-0.07177004671905292
2005-07-31,-0.0821819867228719
2005-08-31,-0.08482986037090932
2005-09-30,-0.09860118895918848
2005-10-31,-0.09785991022111702
2005-11-30,-0.12605874694527042
2005-12-31,-0.12551286299640263
2006-01-31,-0.15399346779842266
2006-02-28,-0.12235178961178116
2006-03-31,-0.09473211232003295
2006-04-30,-0.12370723902495229
2006-05-31,-0.10916373939321565
2006-06-30,-0.10156733947603201
2006-07-31,-0.09791424465741459
2006-08-31,-0.032929226990936845
2006-09-30,0.04721561511069313
2006-10-31,0.02534133686868444
2006-11-30,-0.08467983182119528
2006-12-31,-0.09759618801503214
2007-01-31,-0.07520841850826405
2007-02-28,-0.06322017950577521
2007-03-31,-0.06724469362888763
2007-04-30,-0.023700768079396375
2007-05-31,-0.019627932448898447
2007-06-30,0.003169847531682468
2007-07-31,-0.04094880858963437
2007-08-31,-0.03818282656788739
2007-09-30,-0.046124424486155016
2007-10-31,-0.036073274394539334
2007-11-30,-0.11328527817422182
2007-12-31,-0.05601166039029276
2008-01-31,-0.1232470602807475
2008-02-29,-0.1476178830828584
2008-03-31,-0.15721705049732287
2008-04-30,-0.23198892512170602
2008-05-31,-0.2529753655533751
2008-06-30,-0.386455125716735
2008-07-31,-0.3832785993824741
2008-08-31,-0.3354551082459254
2008-09-30,-0.41737720322409244
2008-10-31,-0.5135055439267076
2008-11-30,-0.5504739895924864
2008-12-31,-0.44544594290335177
2009-01-31,-0.5014290073097633
2009-02-28,-0.5715001264840557
2009-03-31,-0.3989553966393202
2009-04-30,-0.27307856119997875
2009-05-31,-0.21137544634676034
2009-06-30,-0.20363724787763954
2009-07-31,-0.1886573170853428
2009-08-31,-0.18840324881600212
2009-09-30,-0.1834644067149902
2009-10-31,-0.18580728268557758
2009-11-30,-0.17343239170676766
2009-12-31,-0.17063723832230018
2010-01-31,-0.1653384295515126
