lag,ccf,se,significant
-12,0.084,0.0566,False
-11,0.0834,0.0565,False
-10,0.0709,0.0564,False
-9,0.103,0.0563,False
-8,0.0885,0.0563,False
-7,0.0497,0.0562,False
-6,0.084,0.0561,False
-5,0.0844,0.056,False
-4,0.0601,0.0559,False
-3,0.0633,0.0558,False
-2,0.0855,0.0557,False
-1,0.0423,0.0556,False
0,-0.0148,0.0556,False
1,0.0,0.0556,False
2,-0.0266,0.0557,False
3,-0.0494,0.0558,False
4,-0.0223,0.0559,False
5,0.0064,0.056,False
6,0.0097,0.0561,False
7,0.0067,0.0562,False
8,0.0381,0.0563,False
9,0.0162,0.0563,False
10,-0.0242,0.0564,False
11,-0.0029,0.0565,False
12,0.002,0.0566,False
