date,rolling_corr
1994-12-31,-0.06556464506428587
1995-01-31,-0.18976144918215318
1995-02-28,-0.24068184093011585
1995-03-31,-0.2960740402177358
1995-04-30,-0.34095894322465026
1995-05-31,-0.3959483970123536
1995-06-30,-0.4022704144020452
1995-07-31,-0.4064687461212474
1995-08-31,-0.4020942026111116
1995-09-30,-0.40360944155578765
1995-10-31,-0.3989160188298031
1995-11-30,-0.34262553470290635
1995-12-31,-0.33648625828627643
1996-01-31,-0.31755002365754853
1996-02-29,-0.2921509056608485
1996-03-31,-0.13021363000376168
1996-04-30,-0.13219735636749294
1996-05-31,-0.11241020037519749
1996-06-30,-0.05977681094795081
1996-07-31,-0.12777126920477172
1996-08-31,-0.13349977200975957
1996-09-30,-0.10296360300989127
1996-10-31,-0.1001577984925556
1996-11-30,-0.22595924271135776
1996-12-31,-0.2481725821290692
1997-01-31,-0.24077591056931963
1997-02-28,-0.21704268780232544
1997-03-31,-0.1014373457161136
1997-04-30,-0.14045193606441742
1997-05-31,-0.15376028718726348
1997-06-30,-0.18369468463299182
1997-07-31,-0.20364080928685474
1997-08-31,-0.20982935820407841
1997-09-30,-0.16984066037723822
1997-10-31,-0.23127136713147728
1997-11-30,-0.23947212830482653
1997-12-31,-0.2381129499416614
1998-01-31,-0.2659212422313839
1998-02-28,-0.19925545148044488
1998-03-31,-0.1733733382149992
1998-04-30,-0.1666091371858181
1998-05-31,-0.22540640077326773
1998-06-30,-0.18336482820299593
1998-07-31,-0.1974973725456134
1998-08-31,-0.27801327400033227
1998-09-30,-0.2758556543111189
1998-10-31,-0.25039480023577865
1998-11-30,-0.19700228914203147
1998-12-31,-0.17525592455041258
1999-01-31,-0.1515991328534473
1999-02-28,-0.112852195856403
1999-03-31,-0.2502175763371494
1999-04-30,-0.21112305893211566
1999-05-31,-0.1067731207708357
1999-06-30,-0.10003548459350528
1999-07-31,0.04624034171467033
1999-08-31,0.054566953900952765
1999-09-30,0.0805333969779473
1999-10-31,0.01972735379041692
1999-11-30,0.016026248524758077
1999-12-31,-0.05513798651047018
2000-01-31,0.009664061068282558
2000-02-29,-0.030875436302271457
2000-03-31,-0.08292662808735676
2000-04-30,-0.0772451452312392
2000-05-31,-0.018208367924140073
2000-06-30,-0.06491584888469955
2000-07-31,-0.010838670635197077
2000-08-31,0.2969238236662867
2000-09-30,0.18267176184782047
2000-10-31,0.09818903199023617
2000-11-30,-0.024185186145721946
2000-12-31,-0.26276968013673296
2001-01-31,-0.25244584220384236
2001-02-28,-0.33564149531429527
2001-03-31,-0.3815013090333874
2001-04-30,-0.22992879402198674
2001-05-31,-0.20584882386504988
2001-06-30,-0.2598201344170486
2001-07-31,-0.2609776786369883
2001-08-31,-0.3210362260418093
2001-09-30,-0.32621141325398195
2001-10-31,-0.2431926533845453
2001-11-30,-0.1529913157089025
2001-12-31,-0.013846214256237398
2002-01-31,-0.06248793159714415
