horizon_days,coef,se,t_stat,p_value,ci_lower,ci_upper,r_squared,n
5,0.001108,0.009548,0.116,0.9076,-0.017605,0.019821,0.0148,2017
21,0.022411,0.016738,1.339,0.1806,-0.010395,0.055217,0.1105,2001
63,0.076229,0.017008,4.482,0.0,0.042895,0.109564,0.3023,1959
