signal,threshold,strategy,lead_days,lookback,oos_sharpe,oos_ann_return,max_drawdown,win_rate,n_trades,annual_turnover,valid,oos_n_obs,oos_n_trades
S1_spread_level,T1_p75,P1,1,LB24,0.5369,0.073662,-0.20518,0.6479,17,0.58,True,71,17
S1_spread_level,T1_p75,P2,1,LB24,0.5074,0.041124,-0.135381,0.6056,192,6.74,True,71,192
S1_spread_level,T1_p75,P3,1,LB24,0.3377,0.048107,-0.20518,0.662,17,0.58,True,71,17
S1_spread_level,T1_p80,P1,1,LB24,0.578,0.079345,-0.20518,0.6761,15,0.51,True,71,15
S1_spread_level,T1_p80,P2,1,LB24,0.5074,0.041124,-0.135381,0.6056,192,6.74,True,71,192
S1_spread_level,T1_p80,P3,1,LB24,0.4187,0.059472,-0.20518,0.6761,15,0.51,True,71,15
S1_spread_level,T1_p85,P1,1,LB24,0.7076,0.099217,-0.20518,0.7183,11,0.37,True,71,11
S1_spread_level,T1_p85,P2,1,LB24,0.5074,0.041124,-0.135381,0.6056,192,6.74,True,71,192
S1_spread_level,T1_p85,P3,1,LB24,0.7076,0.099217,-0.20518,0.7183,11,0.37,True,71,11
S1_spread_level,T3_z0.0,P1,1,LB24,0.6951,0.051792,-0.083434,0.3521,33,1.12,True,71,33
S1_spread_level,T3_z0.0,P2,1,LB24,0.5074,0.041124,-0.135381,0.6056,192,6.74,True,71,192
S1_spread_level,T3_z0.0,P3,1,LB24,0.0305,0.004367,-0.262853,0.5211,33,1.12,True,71,33
S1_spread_level,T3_z0.5,P1,1,LB24,0.7019,0.061592,-0.142588,0.4507,47,1.59,True,71,47
S1_spread_level,T3_z0.5,P2,1,LB24,0.5074,0.041124,-0.135381,0.6056,192,6.74,True,71,192
S1_spread_level,T3_z0.5,P3,1,LB24,0.1677,0.023968,-0.248421,0.6056,47,1.59,True,71,47
S1_spread_level,T3_z1.0,P1,1,LB24,0.2894,0.032324,-0.230456,0.5211,37,1.25,True,71,37
S1_spread_level,T3_z1.0,P2,1,LB24,0.5074,0.041124,-0.135381,0.6056,192,6.74,True,71,192
S1_spread_level,T3_z1.0,P3,1,LB24,-0.2416,-0.03457,-0.452885,0.6056,37,1.25,False,71,37
S1_spread_level,T3_z1.5,P1,1,LB24,0.2348,0.027055,-0.216651,0.5493,35,1.19,True,71,35
S1_spread_level,T3_z1.5,P2,1,LB24,0.5074,0.041124,-0.135381,0.6056,192,6.74,True,71,192
S1_spread_level,T3_z1.5,P3,1,LB24,-0.3156,-0.045107,-0.432905,0.6197,35,1.19,False,71,35
S1_spread_level,T3_z2.0,P1,1,LB24,0.3875,0.047303,-0.206035,0.6056,27,0.92,True,71,27
S1_spread_level,T3_z2.0,P2,1,LB24,0.5074,0.041124,-0.135381,0.6056,192,6.74,True,71,192
S1_spread_level,T3_z2.0,P3,1,LB24,-0.0322,-0.004612,-0.345921,0.6479,27,0.92,False,71,27
S1_spread_level,T1_p40,P1,2,LB24,0.4672,0.059829,-0.20518,0.493,25,0.85,True,71,25
S1_spread_level,T1_p40,P2,2,LB24,0.4668,0.044375,-0.155827,0.6197,191,6.72,True,71,191
S1_spread_level,T1_p40,P3,2,LB24,0.1431,0.020441,-0.220868,0.5915,25,0.85,True,71,25
S1_spread_level,T1_p50,P1,2,LB24,0.6573,0.088678,-0.20518,0.5915,19,0.64,True,71,19
S1_spread_level,T1_p50,P2,2,LB24,0.4668,0.044375,-0.155827,0.6197,191,6.72,True,71,191
S1_spread_level,T1_p50,P3,2,LB24,0.5535,0.078138,-0.20518,0.6479,19,0.64,True,71,19
S1_spread_level,T1_p60,P1,2,LB24,0.5643,0.077538,-0.20518,0.6056,27,0.92,True,71,27
S1_spread_level,T1_p60,P2,2,LB24,0.4668,0.044375,-0.155827,0.6197,191,6.72,True,71,191
S1_spread_level,T1_p60,P3,2,LB24,0.3928,0.055859,-0.20518,0.6338,27,0.92,True,71,27
S1_spread_level,T1_p70,P1,2,LB24,0.6077,0.083805,-0.20518,0.6479,23,0.78,True,71,23
S1_spread_level,T1_p70,P2,2,LB24,0.4668,0.044375,-0.155827,0.6197,191,6.72,True,71,191
S1_spread_level,T1_p70,P3,2,LB24,0.4824,0.068392,-0.20518,0.6761,23,0.78,True,71,23
S1_spread_level,T1_p75,P1,2,LB24,0.5853,0.080888,-0.20518,0.6479,17,0.58,True,71,17
S1_spread_level,T1_p75,P2,2,LB24,0.4668,0.044375,-0.155827,0.6197,191,6.72,True,71,191
S1_spread_level,T1_p75,P3,2,LB24,0.4407,0.062558,-0.20518,0.6479,17,0.58,True,71,17
S1_spread_level,T1_p80,P1,2,LB24,0.6591,0.092392,-0.20518,0.6761,13,0.44,True,71,13
S1_spread_level,T1_p80,P2,2,LB24,0.4668,0.044375,-0.155827,0.6197,191,6.72,True,71,191
S1_spread_level,T1_p80,P3,2,LB24,0.6073,0.085567,-0.20518,0.6761,13,0.44,True,71,13
S1_spread_level,T1_p85,P1,2,LB24,0.7076,0.099217,-0.20518,0.7183,11,0.37,True,71,11
S1_spread_level,T1_p85,P2,2,LB24,0.4668,0.044375,-0.155827,0.6197,191,6.72,True,71,191
S1_spread_level,T1_p85,P3,2,LB24,0.7076,0.099217,-0.20518,0.7183,11,0.37,True,71,11
S1_spread_level,T3_z0.0,P1,2,LB24,0.2334,0.021659,-0.246986,0.3662,32,1.08,True,71,32
S1_spread_level,T3_z0.0,P2,2,LB24,0.4668,0.044375,-0.155827,0.6197,191,6.72,True,71,191
S1_spread_level,T3_z0.0,P3,2,LB24,-0.3924,-0.0559,-0.486651,0.5493,32,1.08,False,71,32
S1_spread_level,T3_z0.5,P1,2,LB24,0.1835,0.019545,-0.206019,0.4225,46,1.56,True,71,46
S1_spread_level,T3_z0.5,P2,2,LB24,0.4668,0.044375,-0.155827,0.6197,191,6.72,True,71,191
S1_spread_level,T3_z0.5,P3,2,LB24,-0.4222,-0.060128,-0.422675,0.5493,46,1.56,False,71,46
S1_spread_level,T3_z1.0,P1,2,LB24,0.5161,0.066169,-0.20518,0.5493,37,1.25,True,71,37
S1_spread_level,T3_z1.0,P2,2,LB24,0.4668,0.044375,-0.155827,0.6197,191,6.72,True,71,191
S1_spread_level,T3_z1.0,P3,2,LB24,0.2323,0.033122,-0.237443,0.6479,37,1.25,True,71,37
S1_spread_level,T3_z1.5,P1,2,LB24,0.502,0.065269,-0.20518,0.5634,35,1.19,True,71,35
S1_spread_level,T3_z1.5,P2,2,LB24,0.4668,0.044375,-0.155827,0.6197,191,6.72,True,71,191
S1_spread_level,T3_z1.5,P3,2,LB24,0.2196,0.03132,-0.20518,0.6338,35,1.19,True,71,35
S1_spread_level,T3_z2.0,P1,2,LB24,0.5182,0.070884,-0.20518,0.6056,27,0.92,True,71,27
S1_spread_level,T3_z2.0,P2,2,LB24,0.4668,0.044375,-0.155827,0.6197,191,6.72,True,71,191
S1_spread_level,T3_z2.0,P3,2,LB24,0.2987,0.04255,-0.20518,0.6338,27,0.92,True,71,27
S1_spread_level,T1_p40,P1,3,LB24,0.3183,0.041,-0.20518,0.4648,23,0.78,True,71,23
S1_spread_level,T1_p40,P2,3,LB24,0.6673,0.064446,-0.141686,0.6338,190,6.71,True,71,190
