quantile,coef,p_value,ci_lower,ci_upper
0.05,-0.295584,0.0,-0.343142,-0.248025
0.1,-0.204083,0.0,-0.244635,-0.163531
0.25,-0.05767,0.0,-0.083014,-0.032325
0.5,0.046063,0.0,0.032462,0.059665
0.75,0.118007,0.0,0.105754,0.13026
0.9,0.191441,0.0,0.176007,0.206876
0.95,0.248344,0.0,0.227632,0.269056
