signal,horizon,coef,t_stat,p_value,r_squared,n
vix_ratio,spy_fwd_1d,0.002887,0.588,0.5563,0.0004,4954
vix_ratio,spy_fwd_5d,0.005145,0.662,0.5083,0.0003,4950
vix_ratio,spy_fwd_21d,0.011852,0.922,0.3567,0.0004,4934
vix_ratio,spy_fwd_63d,0.041707,2.333,0.0196,0.002,4892
vix_ratio_zscore_252d,spy_fwd_1d,0.000173,0.581,0.5614,0.0002,4756
vix_ratio_zscore_252d,spy_fwd_5d,0.000296,0.603,0.5466,0.0002,4752
vix_ratio_zscore_252d,spy_fwd_21d,0.000733,0.84,0.4008,0.0003,4736
vix_ratio_zscore_252d,spy_fwd_63d,0.004176,3.538,0.0004,0.0036,4694
vix_ratio_roc_21d,spy_fwd_1d,-9e-06,-0.267,0.7897,0.0,4934
vix_ratio_roc_21d,spy_fwd_5d,-6.8e-05,-1.251,0.211,0.0007,4930
vix_ratio_roc_21d,spy_fwd_21d,-7.8e-05,-0.832,0.4053,0.0002,4914
vix_ratio_roc_21d,spy_fwd_63d,0.000221,1.634,0.1023,0.0007,4872
vix_backwardation,spy_fwd_1d,0.000301,0.272,0.7856,0.0001,4954
vix_backwardation,spy_fwd_5d,0.002173,1.079,0.2804,0.0008,4950
vix_backwardation,spy_fwd_21d,0.007475,2.179,0.0294,0.0025,4934
vix_backwardation,spy_fwd_63d,0.011259,2.23,0.0258,0.0021,4892
vix_term_spread,spy_fwd_1d,-0.000217,-0.754,0.4506,0.0014,4954
vix_term_spread,spy_fwd_5d,-7.4e-05,-0.18,0.8571,0.0,4950
vix_term_spread,spy_fwd_21d,2e-05,0.033,0.9736,0.0,4934
vix_term_spread,spy_fwd_63d,-0.000375,-0.458,0.6471,0.0001,4892
