horizon_days,coef,se,t_stat,p_value,ci_lower,ci_upper,r_squared,n
5,0.006034,0.015247,0.396,0.6923,-0.023849,0.035917,0.002,4950
21,0.014772,0.036412,0.406,0.685,-0.056595,0.086138,0.0056,4934
63,0.050514,0.053295,0.948,0.3432,-0.053943,0.154971,0.0196,4892
