indicator_id,display_name,category,target,pair_id,status,primary_csv_ticker,aliases,contributing_csv_ticker,source_csv_rows
hy_ig,HY − IG Credit Spread,credit,SPY,hy_ig_spy,not_started,HY - IG spread,,HY - IG spread,116
hy_ig,HY − IG Credit Spread,credit,XLP,hy_ig_xlp,not_started,HY - IG spread,,HY - IG spread,116
ci_loan,SLOOS C&I Lending Standards — Net % Tightening (Small Firms),credit,SPY,ci_loan_spy,not_started,C&I Loan,,C&I Loan,117
ci_loan,SLOOS C&I Lending Standards — Net % Tightening (Small Firms),credit,XLP,ci_loan_xlp,not_started,C&I Loan,,C&I Loan,117
busloans,Commercial & Industrial Loans,credit,SPY,busloans_spy,in_progress,,,,
cass_freight,Cass Freight Index (shipments),production,SPY,cass_freight_spy,not_started,FRGSHPUSM649NCIS,,FRGSHPUSM649NCIS,122
cass_freight,Cass Freight Index (shipments),production,XLP,cass_freight_xlp,not_started,FRGSHPUSM649NCIS,,FRGSHPUSM649NCIS,122
cass_freight,Cass Freight Index (shipments),production,XLE,cass_freight_xle,not_started,FRGSHPUSM649NCIS,,FRGSHPUSM649NCIS,122
cass_freight,Cass Freight Index (shipments),production,XLY,cass_freight_xly,not_started,FRGSHPUSM649NCIS,,FRGSHPUSM649NCIS,122
cass_freight,Cass Freight Index (shipments),production,XLK,cass_freight_xlk,not_started,FRGSHPUSM649NCIS,,FRGSHPUSM649NCIS,122
cass_freight,Cass Freight Index (shipments),production,XLF,cass_freight_xlf,not_started,FRGSHPUSM649NCIS,,FRGSHPUSM649NCIS,122
cass_freight,Cass Freight Index (shipments),production,XLV,cass_freight_xlv,not_started,FRGSHPUSM649NCIS,,FRGSHPUSM649NCIS,122
abi,Architecture Billings Index,real_estate,XLE,abi_xle,not_started,RE - Arch Billing Indx,,RE - Arch Billing Indx,124
abi,Architecture Billings Index,real_estate,XLK,abi_xlk,not_started,RE - Arch Billing Indx,,RE - Arch Billing Indx,124
abi,Architecture Billings Index,real_estate,XLF,abi_xlf,not_started,RE - Arch Billing Indx,,RE - Arch Billing Indx,124
abi,Architecture Billings Index,real_estate,XLV,abi_xlv,not_started,RE - Arch Billing Indx,,RE - Arch Billing Indx,124
nhs,New Home Sales (NHS),real_estate,SPY,nhs_spy,in_progress,NHS,,NHS,126
nhs,New Home Sales (NHS),real_estate,XLY,nhs_xly,not_started,NHS,,NHS,126
nhs,New Home Sales (NHS),real_estate,XLF,nhs_xlf,not_started,NHS,,NHS,126
