,count,mean,std,min,25%,50%,75%,max
hst_level,438.0,1326.4224,375.0704,478.0,1103.0,1356.0,1566.75,2273.0
hst_pct_yoy,426.0,1.9711,17.3061,-54.797,-6.115,2.7857,11.7595,59.0812
hst_pct_mom,437.0,0.2913,7.8904,-26.0664,-4.4622,-0.2414,5.039,23.9583
hst_3m_pct,435.0,0.4624,9.9909,-40.797,-5.382,0.6489,5.4009,63.0342
hst_3m_pct_yoy,424.0,1.8118,15.3661,-50.5952,-4.1574,3.9796,10.3336,47.3928
hst_yoy_accel_pct,425.0,0.1224,12.5691,-35.7609,-7.002,0.4232,8.2165,43.0816
hst_yoy_zscore_120m,367.0,-0.1484,1.1356,-3.8834,-0.6842,-0.0782,0.5466,3.213
hst_yoy_contraction_flag,438.0,0.395,0.4894,0.0,0.0,0.0,1.0,1.0
spy,402.0,172.622,162.5188,24.1133,70.431,96.2116,232.8448,754.5361
spy_ret,401.0,0.0095,0.0427,-0.1652,-0.0157,0.0136,0.0368,0.127
spy_fwd_1m,401.0,0.0095,0.0427,-0.1652,-0.0157,0.0136,0.0368,0.127
spy_fwd_3m,399.0,0.0286,0.0728,-0.2964,-0.0086,0.0357,0.0723,0.2605
spy_fwd_6m,396.0,0.058,0.1069,-0.418,0.0075,0.0632,0.1239,0.4037
spy_fwd_12m,390.0,0.1204,0.1657,-0.4342,0.0457,0.1435,0.2181,0.5623
