,count,mean,min,25%,50%,75%,max,std
spy,7109.0,182.81953212476714,49.80855941772461,81.13680267333984,104.70429229736328,245.10934448242188,683.4982299804688,146.09339524268015
reference_month_end,7109,2011-09-01 05:28:45.305950208,1997-07-31 00:00:00,2004-07-31 00:00:00,2011-08-31 00:00:00,2018-09-30 00:00:00,2025-10-31 00:00:00,
release_date,7109,2011-09-05 04:46:49.509072896,1997-08-05 00:00:00,2004-08-04 00:00:00,2011-09-05 00:00:00,2018-10-03 00:00:00,2025-11-05 00:00:00,
ism_services_pmi,7109.0,54.71414404276269,37.8,52.75,55.3,57.1,67.5,3.9536866235637187
days_since_release,7109.0,14.437614291742861,0.0,7.0,14.0,22.0,32.0,8.859574636376934
ism_services_gap_50,7109.0,4.714144042762695,-12.200000000000003,2.75,5.299999999999997,7.100000000000001,17.5,3.953686623563719
ism_services_delta,7089.0,-0.023101988997037665,-11.199999999999996,-1.1299999999999955,0.020000000000003126,1.25,11.899999999999999,2.139672868476515
ism_services_3m_change,7044.0,-0.05991198182850648,-14.329999999999998,-1.6000000000000014,-0.11999999999999744,1.4000000000000057,15.0,2.9871659442439356
ism_services_6m_change,6983.0,-0.11926679077760276,-13.700000000000003,-2.0999999999999943,-0.28000000000000114,1.980000000000004,14.43,3.588010407340099
ism_services_zscore_60m,6374.0,-0.0355085164220528,-5.303392979497519,-0.8405448231425164,0.17580957160488753,0.8739606270595798,2.704391608923851,1.2529550979556043
ism_services_above_50,7109.0,0.8942185961457307,0.0,1.0,1.0,1.0,1.0,0.3075792682100629
spy_ret,7108.0,0.0004210035289337113,-0.10942365865436388,-0.004844876798341946,0.0006877540631472501,0.0062205322693721365,0.14519743703586796,0.012319956017101357
spy_fwd_1d,7108.0,0.0004210035289337113,-0.10942365865436388,-0.004844876798341946,0.0006877540631472501,0.0062205322693721365,0.14519743703586796,0.012319956017101357
spy_fwd_5d,7104.0,0.0020472507185454315,-0.19793358065828748,-0.009927861030509078,0.003697647316932895,0.015542127715705456,0.19403570952137272,0.02494589439778795
spy_fwd_21d,7088.0,0.008509075249371733,-0.32751290447687986,-0.015054857564225782,0.014252599427019619,0.03627268729684574,0.2518502723421605,0.04740935156381426
spy_fwd_63d,7046.0,0.025119192892651056,-0.41468012983412383,-0.014975083992659538,0.036058525632455374,0.0719229963750071,0.39935818410565327,0.07776254080099135
spy_fwd_126d,6983.0,0.05043942791251126,-0.4544887272055884,-0.008597527720841103,0.06406105103371607,0.11611454509712793,0.5177087565572989,0.11229384450263934
spy_fwd_252d,6857.0,0.10062886636137916,-0.4735411298181452,0.028392101273227333,0.12997435818958336,0.20209834416964356,0.7750451818912678,0.16724698994968173
