,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
indpro,336.0,96.53189791666667,5.248267743638945,84.3218,92.253375,98.4406,100.897175,104.1004,-0.6281786787655027,-0.8095873577069996
unrate,336.0,5.548809523809523,1.9014052335359715,3.4,4.2,4.9,6.1,14.8,1.415299159747363,1.9624819341036521
caput,336.0,77.3459181547619,3.2168085971571334,64.0847,75.751475,77.2543,79.4396,84.4984,-0.9076570196888616,2.11709064574231
dgs10,336.0,3.455089285714286,1.3734482123488545,0.55,2.3075,3.575,4.5,6.68,0.016087286220247778,-0.8433651258830444
fed_funds,336.0,2.2499107142857144,2.1612592358487626,0.04,0.14,1.585,4.33,7.06,0.52298507662158,-1.2381025853682082
vix,336.0,20.251339273793356,7.817293836484712,9.510000228881836,14.347500324249268,18.380000114440918,24.427500247955322,59.88999938964844,1.6442240788355462,4.049686283866977
spy,336.0,188.63592843782334,152.1728911391214,53.30463409423828,81.74521827697754,107.16926193237305,249.19898223876953,687.010009765625,1.4471168921237805,1.2122055518144
dtb3,336.0,2.0901488095238094,2.0005919217799306,-0.01,0.1275,1.53,4.2325,6.19,0.4870087623216117,-1.3211019758129974
indpro_yoy,324.0,0.7234859789290073,4.249873596498143,-17.318282261376304,-0.8246827197224582,1.765484939616524,2.997084207138856,16.55213518144698,-1.4056234331088744,4.792271390932495
indpro_mom,335.0,0.061974459557448965,1.095850363335972,-13.187752931490081,-0.27321871446574497,0.1153763419832865,0.47855485262459085,6.553017435935615,-5.037785657044928,68.51567487859865
indpro_ma12,327.0,96.57550898248542,4.875576176907571,85.19476,92.19240416666668,98.25999166666668,100.642525,103.47443333333332,-0.5482965663899056,-0.9778103260284681
indpro_dev_trend,327.0,0.27330294412009976,2.1636542892656783,-15.5334,-0.3422291666666837,0.858658333333338,1.4233833333333337,3.9729833333333175,-3.122935270446748,14.89717956463525
indpro_zscore_60m,289.0,0.4545022823309204,1.1678317257659685,-5.785583238090154,-0.0249750132710735,0.4870721251761369,1.3060649458273816,2.605215031313193,-1.271298617798191,3.540503238465838
indpro_mom_3m,333.0,0.15314114114114116,1.9667996960893723,-16.471900000000005,-0.33320000000000505,0.3949000000000069,0.9090999999999951,10.463700000000003,-2.9873164879858036,30.711238582075172
indpro_mom_6m,330.0,0.30691272727272734,2.7501614794737033,-16.866200000000006,-0.43177499999999824,0.8149999999999977,1.6711750000000016,12.177500000000009,-2.0934897027284105,11.808134554265775
indpro_accel,334.0,0.0002598642593561625,1.3923273009576425,-9.275783827138339,-0.5552522067324289,-0.07131326891088863,0.4197120525287701,14.841571022143206,3.1614885694174273,45.85349890838003
indpro_contraction,336.0,0.31845238095238093,0.46657083491610807,0.0,0.0,0.0,1.0,1.0,0.7828810412968092,-1.3954391453908197
yield_spread_10y3m,336.0,1.3649404761904762,1.256887649557636,-1.6199999999999997,0.37250000000000005,1.4,2.3400000000000003,3.79,-0.0974736389093864,-0.7784258615196107
spy_ret,335.0,0.008267465553254,0.04426365747432977,-0.16518670631875865,-0.016497740219653834,0.012856268686985528,0.03665477576260934,0.1269833389477104,-0.5535943057596584,0.8595307754003776
xlp,325.0,32.981694438640886,21.52689580093025,10.396682739257812,13.994275093078613,24.07512664794922,46.34043502807617,80.60103607177734,0.7661775035364168,-0.7591303268098062
indpro_zscore,313.0,0.4530974134096043,1.29951107773453,-5.204374359850168,-0.24835004592896603,0.6253999352334894,1.5255462975879224,2.7047968146784642,-0.9891259588535364,1.043777843335688
indpro_3m_ma,335.0,96.5169996517413,5.19747794953593,84.39005,92.26008333333333,98.61863333333334,100.75093333333334,104.05136666666665,-0.6039411041329983,-0.8600028044651271
indpro_6m_ma,333.0,96.5130982182182,5.114160100248282,84.5115,92.16269999999999,98.44556666666666,100.73548333333332,103.94708333333334,-0.5842076509423554,-0.8827636192790438
indpro_direction,335.0,0.1880597014925373,0.9836267956251329,-1.0,-1.0,1.0,1.0,1.0,-0.3846767697477218,-1.8631832135566258
xlp_ret,324.0,0.005864765948642929,0.035491996637323046,-0.12608686817069026,-0.012914767122374021,0.008628309574968851,0.029108687039752223,0.10454722575128228,-0.5427907863274338,0.95891402306109
xlp_ret_1m,324.0,0.005864765948642929,0.035491996637323046,-0.12608686817069026,-0.012914767122374021,0.008628309574968851,0.029108687039752223,0.10454722575128228,-0.5427907863274338,0.95891402306109
xlp_ret_3m,322.0,0.017616068199892542,0.058387867782760575,-0.17387942628802378,-0.016146857987449637,0.01955146143215969,0.05511090280862152,0.1919960113727599,-0.3613862938021411,0.7114348960167938
xlp_ret_12m,313.0,0.07604191712096599,0.11153615203557952,-0.2739110395404608,0.022977494186424252,0.08938647757212115,0.14549594532772048,0.36813260702238226,-0.6920061253134829,0.8005032662364231
xlp_vol_12m,315.0,0.11871925795142277,0.039241271612882496,0.03415922961837073,0.09169696561195215,0.11582158324751772,0.14077023467507122,0.2328175834021635,0.4662263042310333,0.1399990978076664
xlp_fwd_1m,324.0,0.005864765948642929,0.03549199663732304,-0.12608686817069026,-0.012914767122374021,0.008628309574968851,0.029108687039752223,0.10454722575128228,-0.542790786327434,0.9589140230610909
xlp_fwd_3m,322.0,0.017616068199892542,0.058387867782760575,-0.17387942628802378,-0.016146857987449637,0.01955146143215969,0.05511090280862152,0.1919960113727599,-0.3613862938021411,0.7114348960167942
xlp_fwd_6m,319.0,0.03616385328699804,0.08040613721787328,-0.26532810449833466,-0.007535054736165558,0.04715460712682007,0.08919025716851159,0.23566386869686262,-0.6353644766902996,0.9377381787737735
xlp_fwd_12m,313.0,0.076041917120966,0.11153615203557954,-0.2739110395404608,0.022977494186424252,0.08938647757212115,0.14549594532772048,0.36813260702238226,-0.6920061253134833,0.8005032662364218
