,count,mean,std,min,25%,50%,75%,max
ccdelinq,130.0,3.616230769230769,1.1705284471372506,1.48,2.545,3.6399999999999997,4.605,6.61
spy,130.0,157.9362320973323,139.43957139068394,24.916397094726562,70.65120697021484,93.68390274047852,208.58945083618164,611.0790405273438
spy_ret,129.0,0.028330884319982545,0.07992501955009218,-0.2156864670222104,-0.005330209122399898,0.0367822342795745,0.07651148573448086,0.21594250946724003
spy_fwd_1q,129.0,0.028330884319982545,0.07992501955009218,-0.2156864670222104,-0.005330209122399898,0.0367822342795745,0.07651148573448086,0.21594250946724003
spy_fwd_2q,128.0,0.05710326327722608,0.11567486194670068,-0.30391134407964326,-0.004584813998521897,0.06784682958622268,0.11725269240041586,0.34170287149160705
spy_fwd_4q,126.0,0.11906280535081569,0.17602664269364746,-0.38158035863268525,0.021907892830989928,0.14348524338352364,0.22472651633788593,0.5623113802140352
ccdelinq_level,130.0,3.616230769230769,1.1705284471372506,1.48,2.545,3.6399999999999997,4.605,6.61
ccdelinq_diff_1q,129.0,-0.013720930232558137,0.26083720308197583,-0.9799999999999995,-0.18000000000000016,-0.020000000000000018,0.1200000000000001,0.8900000000000006
ccdelinq_chg_4q,126.0,-0.037063492063492055,0.6496079648037791,-2.21,-0.3674999999999998,-0.010000000000000009,0.27500000000000024,1.8100000000000005
ccdelinq_zscore_20q,119.0,0.06048955115158277,1.3283529971262054,-2.9817965911364284,-1.0966323798467088,0.18851304292545976,1.2818349254049564,3.0402553063355793
