,count,mean,std,min,25%,50%,75%,max
import_price,392.0,117.79260204081632,17.77109988622065,91.0,99.625,120.8,135.0,148.5
spy,392.0,159.36488659527836,141.34427445309277,24.113258361816406,69.67362403869629,94.46508407592773,211.2346534729004,637.98095703125
spy_ret,391.0,0.009331587145033859,0.04271182867678975,-0.165186962213014,-0.015704225642961922,0.013567160301743764,0.0368887051693797,0.1269836370964108
spy_fwd_1m,391.0,0.009331587145033859,0.04271182867678975,-0.165186962213014,-0.015704225642961922,0.013567160301743764,0.0368887051693797,0.1269836370964108
spy_fwd_3m,389.0,0.028012244567751147,0.0731840955436391,-0.2964403341725087,-0.009952710783382113,0.035536985809412336,0.07223637258241378,0.2605478284945688
spy_fwd_6m,386.0,0.056550731401025026,0.10733481845980396,-0.4179550198506744,0.0067096217136153324,0.061732006679686036,0.12250320714058183,0.4037092533687334
spy_fwd_12m,380.0,0.11816066714672128,0.167098459318624,-0.43424382943208195,0.04171837596658223,0.13982909738582094,0.21870865130192463,0.5623115376077668
import_price_yoy,380.0,1.4751665930360087,6.334350138485068,-19.11864406779661,-1.824249632342051,1.2566295829473995,5.452874331550806,21.399176954732503
import_price_mom,391.0,0.11021256355127589,1.1404987812892589,-7.4074074074074066,-0.3580941850530206,0.14174344436570507,0.722841924234463,3.1553398058252524
import_price_3m,389.0,0.34884669666796114,2.748943226702049,-16.908563134978237,-0.8385744234800763,0.4237288135593209,1.619433198380582,9.034749034749034
import_price_6m,386.0,0.7194397952201554,4.361721524951273,-23.389830508474574,-1.3161177093911403,0.6371279685140063,3.159794462607751,14.29693637077769
import_price_yoy_zscore_60m,345.0,0.04340892254954643,1.2324071869049318,-3.030602136123521,-0.6359330483530355,-0.03776368707060255,0.9442572165379389,3.1760052759850033
import_price_accel,379.0,0.0022384071494724192,1.6913737680474537,-10.736721873215306,-0.8759015039119857,0.05735633312069588,0.8669379311558867,9.049382716049381
