,count,mean,std,min,25%,50%,75%,max
sloos_ci_small,131.0,5.183969465648854,23.17813564147136,-32.4,-10.3,-1.8,14.25,83.6
spy,131.0,161.7741720185025,145.6826329788881,24.91639518737793,71.53428649902344,94.4639892578125,214.79444122314453,660.7061157226562
spy_ret,130.0,0.028737668061425303,0.07974966061488287,-0.21568642780669223,-0.004952479287199885,0.037278092079614855,0.07964851180376342,0.21594287352184738
spy_fwd_1q,130.0,0.0287376680614253,0.07974966061488287,-0.21568642780669223,-0.004952479287199885,0.037278092079614855,0.07964851180376342,0.21594287352184738
spy_fwd_2q,129.0,0.058193454119668725,0.11588556473901042,-0.30391160700349096,-0.00411224020689227,0.06791132230651198,0.11784580967563252,0.3417031343296837
spy_fwd_4q,127.0,0.11950478008708112,0.1753974870383775,-0.3815805796738123,0.024865564097464987,0.14407286769711947,0.224479282651468,0.5623117676148064
sloos_level,131.0,5.183969465648854,23.17813564147136,-32.4,-10.3,-1.8,14.25,83.6
sloos_diff_1q,130.0,0.04692307692307666,12.032953386568872,-33.5,-5.400000000000002,-0.050000000000000044,5.574999999999997,41.5
sloos_chg_4q,127.0,0.6921259842519686,27.434289766059717,-103.6,-12.9,2.9000000000000004,13.350000000000001,74.0
sloos_zscore_20q,120.0,0.29227436451338046,1.2189795675255037,-2.0277130273394994,-0.6382095794638466,0.09224307942602947,1.017352988284919,3.5300175946939394
