,count,mean,std,min,25%,50%,75%,max
gold,6611.0,1249.2371194262744,729.3069990037063,255.10000610351562,647.2000122070312,1247.4000244140625,1678.0999755859375,4529.10009765625
copper,6611.0,2.8389593836778304,1.1739895391172193,0.6039999723434448,2.125749945640564,3.0420000553131104,3.677999973297119,5.795000076293945
gold_etf,5510.0,136.23440102648172,59.73633311443562,41.2599983215332,106.18249893188477,124.93000030517578,166.4199981689453,416.739990234375
copper_etf,3687.0,21.625142396223847,4.725602540310245,11.899999618530273,17.459999084472656,21.65999984741211,25.469999313354492,36.16999816894531
xli,6783.0,48.16656708720861,35.48199296494487,11.034394264221191,20.22784996032715,30.048425674438477,67.15335464477539,157.05868530273438
spy,6783.0,196.06846040289574,152.72488413097506,49.80856704711914,84.43343353271484,115.78752899169922,260.0475616455078,688.4996948242188
vix,6783.0,19.809385228821366,8.336435667868438,9.140000343322754,13.970000267028809,17.770000457763672,23.209999084472656,82.69000244140625
dxy,6783.0,92.86664604356854,11.283411976902293,71.33000183105469,82.68000030517578,93.3499984741211,100.31999969482422,120.9000015258789
gold_copper_ratio,6611.0,430.3140864325654,126.20846153883723,162.1170724929083,352.7760284699103,431.2362338030413,491.1855976743598,867.6270061172157
gold_copper_ratio_etf,3687.0,7.388738596988115,1.4687674101860262,5.041066075424683,6.3109210168707754,6.889802617647806,8.10701966448359,12.909061793332818
gold_copper_logratio,6611.0,6.017765882758089,0.31626685032786794,5.088318743941677,5.8658333752858685,6.0666560462199275,6.1968220549245245,6.7657619058509555
gold_copper_zscore_126d,6512.0,0.12972346827353332,1.4306991097679342,-4.527555325808233,-0.9948862003888697,0.07172965172222856,1.2174971311268088,5.283419425766545
gold_copper_zscore_252d,6411.0,0.23365348434933358,1.4566228647063628,-3.6038310061171464,-0.8669891489100767,0.22063146895046526,1.286970388091977,5.876187859182132
gold_copper_zscore_504d,6209.0,0.2853869275980117,1.5035154849234176,-4.186953890489818,-0.9276525479639192,0.3002670285597877,1.3495203892444734,5.3519808969492715
gold_copper_pctrank_504d,6209.0,0.5510992668565832,0.35214519699750646,0.0,0.2047713717693837,0.6262425447316103,0.8866799204771372,1.0
gold_copper_pctrank_1260d,5604.0,0.5673221469690655,0.31319579919918983,0.0,0.3471008737092931,0.6088165210484512,0.8332009531374106,1.0
gold_copper_roc_5d,6606.0,0.13634117418167202,3.6768042383986033,-16.913382818877587,-2.0788475377016944,0.010924640985698897,2.070634617267031,31.154300363066056
gold_copper_roc_21d,6590.0,0.591765513467218,7.6510320404590315,-26.645716642579597,-3.7746705002515313,0.04521290102388331,4.2412398636933695,67.72355554945406
