episode,start_date,end_date,n_trading_days,ann_sharpe,win_rate,max_drawdown,data_status,durability_verdict
dot_com,2000-03-01,2002-10-31,0,,,,insufficient_data,
gfc,2007-12-01,2009-06-30,0,,,,insufficient_data,
covid,2020-03-31,2020-12-31,252,0.6336,0.75,0.0,validated,
china_2015,2015-06-01,2016-02-29,0,,,,insufficient_data,conditionally_durable
