quartile,n_months,ann_return,ann_vol,sharpe,max_drawdown
Q1,96,0.0599,0.1635,0.366,-0.483
Q2,95,0.1044,0.1255,0.832,-0.1353
Q3,95,0.1142,0.165,0.693,-0.4073
Q4,96,0.175,0.1403,1.247,-0.1528
